Genes,Amino_Acid_Length,Norm_Symbol
INPP5B,785.8333333333335,INPP5B
HDGF,242.25,HDGF
PPP1R3B,285.0,PPP1R3B
FAM81A,130.4,FAM81A
CSF1,308.625,CSF1
MGAT4B,321.1818181818182,MGAT4B
RTL3,475.0,RTL3
KIAA1024,885.0,KIAA1024
KHDC3L,217.0,KHDC3L
MAST2,1125.3333333333333,MAST2
TENT4A,453.66666666666674,TENT4A
AL355987.3,40.0,AL355987.3
IBSP,317.0,IBSP
DSPP,1301.0,DSPP
SETDB1,570.2,SETDB1
HEXA,289.0,HEXA
AC011498.4,84.0,AC011498.4
FAM131A,278.6666666666667,FAM131A
GPN2,184.33333333333331,GPN2
RAB3IP,276.75,RAB3IP
CUL9,1323.5,CUL9
GPBP1L1,474.0,GPBP1L1
GNPAT,405.5,GNPAT
CLEC4C,169.33333333333334,CLEC4C
PINK1,581.0,PINK1
CYP2C8,325.0,CYP2C8
PGBD5,489.5,PGBD5
TULP4,812.3333333333335,TULP4
GALNT2,571.0,GALNT2
LEKR1,236.57142857142856,LEKR1
TMEM265,108.0,TMEM265
KLF1,362.0,KLF1
SRCAP,1977.75,SRCAP
OR4E1,307.5,OR4E1
GPD2,456.5555555555555,GPD2
TBX19,349.0,TBX19
PAPLN,916.375,PAPLN
KRTAP19-1,90.0,KRTAP19-1
KRTAP13-3,172.0,KRTAP13-3
KRTAP13-2,175.0,KRTAP13-2
KLHL42,351.0,KLHL42
ZNF66,266.6666666666667,ZNF66
TRIO,1538.428571428571,TRIO
FAS,196.5,FAS
AL159163.1,185.0,AL159163.1
MAGED4,748.0,MAGED4
LYRM2,86.6,LYRM2
NXPE4,402.0,NXPE4
PPAT,260.3333333333333,PPAT
COL17A1,648.1111111111112,COL17A1
CTDSPL,164.66666666666666,CTDSPL
ZNF728,349.0,ZNF728
ZNF543,600.0,ZNF543
HSPA12B,643.0,HSPA12B
SKOR1,924.0,SKOR1
DUXA,204.0,DUXA
LINGO4,593.0,LINGO4
ATP7B,1139.111111111111,ATP7B
DNAAF3,299.9,DNAAF3
CELSR2,2923.0,CELSR2
ZNF576,170.0,ZNF576
KRTAP5-7,165.0,KRTAP5-7
CYP2A6,279.5,CYP2A6
MIA-RAB4B,131.0,MIA-RAB4B
SLC35A3,218.8181818181818,SLC35A3
APC2,934.1428571428572,APC2
WDR82,144.66666666666666,WDR82
NPIPB5,381.9523809523809,NPIPB5
CXorf56,201.0,CXorf56
C1orf226,252.66666666666663,C1orf226
EHMT1,377.8846153846154,EHMT1
AC084121.5,464.0,AC084121.5
KIR3DL2,437.43023255813966,KIR3DL2
MGAM,1417.2857142857142,MGAM
LRIT3,587.5,LRIT3
XRCC1,345.66666666666674,XRCC1
HLA-E,358.0,HLA-E
BHLHB9,547.0,BHLHB9
SPACA1,294.0,SPACA1
AASDH,706.4285714285713,AASDH
RAB15,176.875,RAB15
RBM25,360.875,RBM25
SH2B3,388.0,SH2B3
FZD7,574.0,FZD7
PIGT,260.05454545454546,PIGT
ATXN7L3B,97.0,ATXN7L3B
MEA1,176.83333333333337,MEA1
RAB25,213.0,RAB25
RNF223,249.0,RNF223
VASH1,220.0,VASH1
IL31RA,630.25,IL31RA
USP53,634.25,USP53
DHRS7B,180.5,DHRS7B
PRRC2B,612.7777777777778,PRRC2B
MIA2,715.0666666666667,MIA2
CEP85,667.25,CEP85
HPS5,663.6666666666666,HPS5
CHTF8,121.36363636363636,CHTF8
IL5,92.5,IL5
ICMT,164.66666666666666,ICMT
TMEM187,120.0,TMEM187
PHC2,618.75,PHC2
CORO7,243.09523809523807,CORO7
STN1,368.0,STN1
AKAP5,427.0,AKAP5
RWDD1,116.0,RWDD1
OR9A2,310.0,OR9A2
RHOT1,343.1333333333333,RHOT1
ZNF862,631.0,ZNF862
CNKSR1,367.1428571428572,CNKSR1
RAB3GAP2,549.0,RAB3GAP2
TIAF1,115.0,TIAF1
TMEM246,403.0,TMEM246
NCBP2L,153.0,NCBP2L
GPX5,160.5,GPX5
CREBRF,374.75,CREBRF
ZNF687,701.8333333333335,ZNF687
CLEC9A,241.0,CLEC9A
TWF2,301.5,TWF2
SCYGR3,100.0,SCYGR3
PROKR1,393.0,PROKR1
DAZAP1,384.8,DAZAP1
LIN28A,209.0,LIN28A
LCA5,608.0,LCA5
SLC22A3,556.0,SLC22A3
MYOCD,653.25,MYOCD
CALHM2,323.0,CALHM2
SPAG11B,91.83333333333331,SPAG11B
NTF3,263.5,NTF3
PIP5K1A,327.77777777777777,PIP5K1A
HEATR3,680.0,HEATR3
NEDD8-MDP1,107.0,NEDD8-MDP1
PLXDC1,252.75,PLXDC1
NCKAP5,691.875,NCKAP5
COX19,106.0,COX19
EXOC1,889.0,EXOC1
VPS26A,238.8,VPS26A
BOD1,111.6,BOD1
SHD,226.0,SHD
LPAR2,178.85714285714286,LPAR2
PAQR7,346.0,PAQR7
TTYH1,332.0,TTYH1
AC009119.2,121.33333333333331,AC009119.2
INMT-MINDY4,131.5,INMT-MINDY4
TMEM231,213.66666666666663,TMEM231
ZNF747,237.0,ZNF747
HTRA1,358.33333333333326,HTRA1
BTBD19,235.33333333333331,BTBD19
TAF5,800.0,TAF5
APOB,2695.5,APOB
TSPAN5,136.14285714285714,TSPAN5
FBXO11,435.0,FBXO11
CNFN,112.0,CNFN
FAM174B,100.25,FAM174B
C6orf136,262.41379310344826,C6orf136
NCOA3,1419.666666666667,NCOA3
NDUFA13,119.2,NDUFA13
BZW1,263.22222222222223,BZW1
MRM3,235.66666666666663,MRM3
FIGNL2,653.0,FIGNL2
CLDN25,229.0,CLDN25
GMCL2,526.0,GMCL2
MTUS2,661.6666666666666,MTUS2
PCLO,1959.333333333333,PCLO
DOK1,272.0,DOK1
KPNA2,277.0,KPNA2
SLC5A12,360.25,SLC5A12
ANKRD33,286.6666666666667,ANKRD33
PLXNA2,1894.0,PLXNA2
GLOD4,136.57142857142858,GLOD4
CDH3,258.75,CDH3
MSRB2,151.0,MSRB2
SPHK1,286.0,SPHK1
CHRNA6,361.33333333333326,CHRNA6
FBXW11,248.75,FBXW11
TAF6L,220.0,TAF6L
NUBPL,154.14285714285714,NUBPL
MAOA,460.5,MAOA
TAB3,552.6,TAB3
CXCL17,90.5,CXCL17
HHAT,358.77777777777777,HHAT
TARM1,272.3333333333333,TARM1
AC012314.17,84.0,AC012314.17
AC243734.1,502.0,AC243734.1
AC012314.23,253.0,AC012314.23
AC244489.2,369.0,AC244489.2
AC069503.2,85.0,AC069503.2
FUBP1,546.0,FUBP1
DAP3,222.05882352941174,DAP3
RNF34,218.875,RNF34
KDM2B,438.8,KDM2B
UBE4B,589.8,UBE4B
BEGAIN,413.0,BEGAIN
RBP7,96.5,RBP7
WARS,169.35294117647058,WARS
ST6GALNAC3,222.0,ST6GALNAC3
SLC50A1,121.7,SLC50A1
LGMN,179.78571428571428,LGMN
NR1H2,289.7,NR1H2
NXF3,446.0,NXF3
NMNAT1,190.0,NMNAT1
ACADS,410.0,ACADS
LLCFC1,149.75,LLCFC1
FLT3LG,166.3,FLT3LG
MREG,158.2,MREG
BEX1,125.0,BEX1
KLF14,323.0,KLF14
OR2G6,316.0,OR2G6
OR2L13,312.0,OR2L13
HLA-DQA2,254.91666666666663,HLA-DQA2
CPSF2,298.25,CPSF2
NDUFB1,76.8,NDUFB1
MSI1,297.5,MSI1
SIRT4,210.0,SIRT4
DCST2,477.0,DCST2
CRISPLD2,242.875,CRISPLD2
ZBTB7B,547.5,ZBTB7B
NLRP3,926.4444444444445,NLRP3
ZNF695,205.8,ZNF695
EVL,233.27272727272728,EVL
OCLM,44.0,OCLM
TFB2M,396.0,TFB2M
IQSEC3,934.5,IQSEC3
IZUMO2,159.25,IZUMO2
RING1,406.0,RING1
FBLIM1,153.23076923076925,FBLIM1
AC010616.2,1010.0,AC010616.2
DESI2,152.0,DESI2
NECAP1,172.78571428571428,NECAP1
ARL4D,201.0,ARL4D
FAM161B,427.0,FAM161B
SRRM4,338.5,SRRM4
MMP17,251.0,MMP17
UBE2Q1,422.0,UBE2Q1
ENTPD5,243.4,ENTPD5
SFSWAP,598.75,SFSWAP
LRRC53,1247.0,LRRC53
OR13C3,332.0,OR13C3
CRH,196.0,CRH
PDE7B,384.0,PDE7B
NOTCH4,1866.7142857142856,NOTCH4
VEPH1,298.3333333333333,VEPH1
CEP72,408.5,CEP72
ABCC10,840.5,ABCC10
CLSTN1,776.75,CLSTN1
MAMDC4,863.0,MAMDC4
CEACAM21,219.66666666666663,CEACAM21
C5orf30,206.0,C5orf30
NAV3,1249.875,NAV3
ZFYVE26,1383.75,ZFYVE26
TNFAIP8L1,186.0,TNFAIP8L1
MYDGF,148.66666666666666,MYDGF
AL672043.1,95.0,AL672043.1
AL358075.4,507.0,AL358075.4
AHCYL1,498.66666666666674,AHCYL1
LRTM1,307.0,LRTM1
A1BG,400.0,A1BG
CGAS,484.5,CGAS
S1PR1,341.2,S1PR1
FAM214B,494.4285714285714,FAM214B
RIOX1,641.0,RIOX1
OR10K1,313.0,OR10K1
FAM220A,163.0,FAM220A
EZR,586.0,EZR
NDNF,276.3333333333333,NDNF
ACACA,793.6428571428571,ACACA
TRPV4,790.0,TRPV4
RPS27,82.5,RPS27
ZSCAN1,254.66666666666663,ZSCAN1
AKT1S1,212.125,AKT1S1
CLPTM1L,436.6,CLPTM1L
ACOT7,327.22222222222223,ACOT7
PLXNB2,592.0,PLXNB2
PARP6,314.0625,PARP6
TMEM141,108.0,TMEM141
PNKP,201.63157894736838,PNKP
BACH2,537.0,BACH2
SIGLEC11,453.33333333333326,SIGLEC11
CD1A,327.0,CD1A
THPO,332.25,THPO
SNX31,198.33333333333331,SNX31
VAT1L,419.0,VAT1L
TSPAN17,242.375,TSPAN17
ZNF283,317.57142857142856,ZNF283
SKP2,248.33333333333331,SKP2
MAFK,156.0,MAFK
ERICH4,130.0,ERICH4
APOBEC1,136.0,APOBEC1
ZNF681,307.6666666666667,ZNF681
KRTAP20-3,44.0,KRTAP20-3
GPR157,200.5,GPR157
GNG12,72.0,GNG12
WLS,243.72727272727272,WLS
CSGALNACT2,542.0,CSGALNACT2
MICB,357.77777777777777,MICB
TCL1B,128.0,TCL1B
RBL1,612.25,RBL1
RPP21,219.91176470588238,RPP21
AC087721.2,63.0,AC087721.2
TRIM39,301.09090909090907,TRIM39
QRFP,136.0,QRFP
GATAD2A,261.0,GATAD2A
ZNF836,419.0,ZNF836
KLRB1,225.0,KLRB1
GRK2,548.5,GRK2
MCOLN3,378.0,MCOLN3
CCDC32,165.69230769230768,CCDC32
GMNC,198.5,GMNC
DTD2,134.66666666666666,DTD2
TUBB,403.5,TUBB
TBX15,476.0,TBX15
BAHCC1,2623.5,BAHCC1
CDK17,296.14285714285717,CDK17
ZNF774,173.0,ZNF774
PPM1G,546.0,PPM1G
DDX28,540.0,DDX28
HAL,334.75,HAL
PCDHGA10,893.0,PCDHGA10
LRMP,330.38461538461536,LRMP
GGT2,564.0,GGT2
SLC45A3,553.0,SLC45A3
KIF16B,847.3333333333335,KIF16B
PCDHGB2,871.0,PCDHGB2
EPB41L5,632.4,EPB41L5
IL1B,162.0,IL1B
AC068775.1,240.0,AC068775.1
CAMKK1,519.0,CAMKK1
LGALS4,152.5,LGALS4
KRT13,280.5,KRT13
CCM2,343.88888888888886,CCM2
NRM,247.25,NRM
C6orf58,330.0,C6orf58
RPL4,275.25,RPL4
RNF157,388.33333333333326,RNF157
FAM229B,80.0,FAM229B
GSK3B,441.0,GSK3B
CNTD2,248.0,CNTD2
ZBTB8OS,105.63636363636364,ZBTB8OS
AL033529.1,512.0,AL033529.1
KNSTRN,166.72727272727272,KNSTRN
PLSCR5,267.0,PLSCR5
EMP2,167.0,EMP2
DBP,208.25,DBP
HAPLN4,402.0,HAPLN4
WNT10B,197.4,WNT10B
MXRA5,2828.0,MXRA5
KDELC2,381.75,KDELC2
ABTB2,1025.0,ABTB2
MEIS3,321.5,MEIS3
HTR4,364.0,HTR4
SPATS2L,316.3333333333333,SPATS2L
CD300C,224.0,CD300C
GM2A,147.66666666666666,GM2A
PPM1B,353.16666666666674,PPM1B
ADARB1,584.5555555555555,ADARB1
BTG2,158.0,BTG2
EVI5,651.6666666666666,EVI5
CDCA7L,249.28571428571428,CDCA7L
NEURL4,1226.0,NEURL4
CHRM2,466.0,CHRM2
SP7,386.0,SP7
SEMA4D,481.86666666666673,SEMA4D
RNF146,168.5,RNF146
MTPN,85.0,MTPN
TMCC3,351.66666666666674,TMCC3
RSPO3,282.0,RSPO3
AC068831.7,599.0,AC068831.7
DRAP1,183.6,DRAP1
KANK3,504.75,KANK3
WDR20,314.92307692307685,WDR20
FAM83E,284.5,FAM83E
SOX10,331.0,SOX10
GPR50,617.0,GPR50
SHARPIN,269.3333333333333,SHARPIN
TNFRSF12A,111.66666666666669,TNFRSF12A
TPST2,191.0,TPST2
PIP4K2C,266.625,PIP4K2C
FOSL1,164.4,FOSL1
PDX1,283.0,PDX1
SLC34A2,513.5,SLC34A2
INPP5J,524.0909090909091,INPP5J
PRPF4B,867.0,PRPF4B
LBHD1,220.33333333333331,LBHD1
PCYT1B,306.75,PCYT1B
HIVEP3,2405.333333333333,HIVEP3
AC119676.1,26.0,AC119676.1
AP4B1,463.66666666666674,AP4B1
KRTAP2-4,128.0,KRTAP2-4
CAAP1,211.6,CAAP1
KLF11,319.0,KLF11
DMRT2,347.28571428571433,DMRT2
AL049844.1,19.0,AL049844.1
HOXB1,278.0,HOXB1
PCSK9,692.0,PCSK9
SIPA1,626.4,SIPA1
AKT1,359.1818181818182,AKT1
KRT40,366.0,KRT40
SPPL2B,299.7142857142857,SPPL2B
CCL5,110.66666666666669,CCL5
CLLU1OS,101.0,CLLU1OS
N4BP2L2,695.5,N4BP2L2
MYOM2,1177.5,MYOM2
IPO9,598.0,IPO9
C14orf39,179.6,C14orf39
KLK11,184.55555555555557,KLK11
ANKRD37,101.0,ANKRD37
LAPTM5,262.0,LAPTM5
C17orf100,90.33333333333331,C17orf100
AP000646.1,477.0,AP000646.1
HLA-A,349.08888888888885,HLA-A
UQCRC1,223.0,UQCRC1
GOLGA7B,166.5,GOLGA7B
SRP68,279.1666666666667,SRP68
FLOT1,212.377358490566,FLOT1
FTCD,440.22222222222223,FTCD
MDC1,489.66666666666674,MDC1
POGLUT1,204.83333333333331,POGLUT1
RTL10,295.75,RTL10
STRN4,320.3333333333333,STRN4
NR5A2,344.33333333333326,NR5A2
ATP5PO,87.8,ATP5PO
KCNQ4,646.75,KCNQ4
ATPAF1,211.9090909090909,ATPAF1
KLHL15,604.0,KLHL15
AL355315.1,449.0,AL355315.1
CFHR1,300.5,CFHR1
HMX3,357.0,HMX3
CFH,688.3333333333335,CFH
DNAJC17,152.42857142857142,DNAJC17
SETBP1,753.0,SETBP1
BMP3,472.0,BMP3
EPM2AIP1,262.6666666666667,EPM2AIP1
SIN3A,433.54545454545456,SIN3A
SPATA16,569.0,SPATA16
AC073508.2,176.5,AC073508.2
C6orf15,325.0,C6orf15
ZFYVE28,432.125,ZFYVE28
OR4N5,308.0,OR4N5
SH3BP5,193.7142857142857,SH3BP5
PLEKHB1,160.5,PLEKHB1
NMBR,390.0,NMBR
CTXN1,82.0,CTXN1
TRIML2,273.75,TRIML2
WWC1,929.0,WWC1
PTGFR,328.0,PTGFR
EAF2,156.5,EAF2
KRCC1,259.0,KRCC1
MMP11,305.2857142857143,MMP11
SUCLG2,360.25,SUCLG2
SOX2,317.0,SOX2
FKBP10,256.5,FKBP10
KBTBD8,268.0,KBTBD8
NFKBID,318.0,NFKBID
NFKBIL1,341.9583333333333,NFKBIL1
STOX2,345.0,STOX2
ERI2,441.66666666666674,ERI2
SPIN3,111.06976744186045,SPIN3
SEC23B,482.1818181818182,SEC23B
ACSM3,256.77777777777777,ACSM3
FYCO1,848.0,FYCO1
ACIN1,720.6363636363636,ACIN1
CTNNBL1,436.57142857142856,CTNNBL1
FAM72B,124.2,FAM72B
MARCH8,253.66666666666663,MARCH8
DRD3,391.75,DRD3
RASSF3,185.8,RASSF3
SMIM10L2B,78.0,SMIM10L2B
SIRPB2,250.0,SIRPB2
PHC3,365.58333333333326,PHC3
TENT5A,320.0,TENT5A
ADAM30,790.0,ADAM30
TDRD9,1059.0,TDRD9
MYF6,242.0,MYF6
SEC14L3,288.85714285714283,SEC14L3
AC018512.1,109.0,AC018512.1
ZBTB11,634.0,ZBTB11
AC008758.5,149.0,AC008758.5
SMCO3,225.0,SMCO3
ZNF791,161.4,ZNF791
SNX12,163.5,SNX12
FBLN7,339.5,FBLN7
MGP,101.66666666666669,MGP
ANKRD52,1076.0,ANKRD52
POU2F3,290.0,POU2F3
MAGEA8,318.0,MAGEA8
AC008758.6,80.0,AC008758.6
AC005832.4,51.0,AC005832.4
ZNF564,169.5,ZNF564
DYRK4,280.57142857142856,DYRK4
AC010422.6,163.0,AC010422.6
ZNF267,202.2,ZNF267
ZNF443,367.5,ZNF443
BTN2A2,242.78571428571428,BTN2A2
CDK5R1,179.0,CDK5R1
XPO7,650.5,XPO7
RFPL3,302.5,RFPL3
SPACA9,204.0,SPACA9
PDCD4,386.0,PDCD4
AC008758.1,641.0,AC008758.1
ZNF709,387.0,ZNF709
DLL1,388.5,DLL1
ARHGDIG,146.2,ARHGDIG
COG3,356.25,COG3
WDR78,290.8,WDR78
NDUFA10,246.8,NDUFA10
OR13A1,328.0,OR13A1
INPP4B,426.375,INPP4B
AC008758.4,46.0,AC008758.4
IQCB1,280.0,IQCB1
AK8,479.0,AK8
AP3M1,418.0,AP3M1
CAMKV,356.4,CAMKV
CENPJ,939.0,CENPJ
TEKT3,252.42857142857144,TEKT3
HLA-F,258.62,HLA-F
HLF,206.33333333333331,HLF
AC004754.1,531.0,AC004754.1
TP63,502.5,TP63
GSTA1,222.0,GSTA1
CDC45,373.8571428571428,CDC45
CEP164,403.4285714285714,CEP164
AC012314.11,712.0,AC012314.11
CR547123.,137.0,CR547123.
AC142525.,25.0,AC142525.
AC011476.11,249.25,AC011476.11
STKLD1,680.0,STKLD1
AC136616.,94.0,AC136616.
AC025283.,111.0,AC025283.
LENG1,264.0,LENG1
ERO1A,229.7142857142857,ERO1A
AP3M2,218.0,AP3M2
KRTAP24-1,254.0,KRTAP24-1
TXNL1,170.85714285714286,TXNL1
CADM1,309.23076923076917,CADM1
THAP6,126.36363636363636,THAP6
AXL,801.6666666666665,AXL
TMEM163,289.0,TMEM163
HSDL2,381.5,HSDL2
PKM,340.1875,PKM
ZNF608,818.8333333333335,ZNF608
SNX9,247.33333333333331,SNX9
HIGD2A,106.0,HIGD2A
ELF4,516.0,ELF4
MGAM2,1498.5,MGAM2
CHRM1,349.33333333333326,CHRM1
GPATCH4,254.2,GPATCH4
KIR2DS2,300.77777777777777,KIR2DS2
S100A7,101.0,S100A7
TTC24,582.0,TTC24
TOMM22,142.0,TOMM22
AC067752.1,216.0,AC067752.1
S100A8,93.0,S100A8
YRDC,279.0,YRDC
UNG,254.0,UNG
AC003005.1,58.5,AC003005.1
SYN1,394.25,SYN1
GOT1L1,248.66666666666663,GOT1L1
SPRR5,108.0,SPRR5
AC003002.3,142.5,AC003002.3
RPTN,784.0,RPTN
CRNN,495.0,CRNN
EGFL8,281.3333333333333,EGFL8
C1orf54,127.66666666666669,C1orf54
MAPKAPK5,278.6,MAPKAPK5
LRRC52,313.0,LRRC52
APH1A,214.25,APH1A
NR4A2,407.2,NR4A2
CCDC81,422.25,CCDC81
RXRG,401.5,RXRG
PTBP3,415.0,PTBP3
EGF,1179.3333333333333,EGF
SUPT7L,385.8,SUPT7L
DEFB106A,65.0,DEFB106A
SLC25A36,168.3,SLC25A36
ATP6V1E2,226.0,ATP6V1E2
SASS6,657.0,SASS6
FUS,460.25,FUS
GFRA1,462.5,GFRA1
PDE1C,583.5,PDE1C
MMP1,469.0,MMP1
HCAR3,387.0,HCAR3
AC084121.7,464.0,AC084121.7
FOXO3,599.6666666666666,FOXO3
CDT1,368.0,CDT1
AKAP8,334.3333333333333,AKAP8
NAT8,227.0,NAT8
DIP2C,1017.0,DIP2C
AC084121.6,464.0,AC084121.6
APEX2,518.0,APEX2
PRDM4,367.75,PRDM4
SLC25A43,341.0,SLC25A43
ZNF471,316.3333333333333,ZNF471
PRRT4,505.4285714285714,PRRT4
LYPD3,346.0,LYPD3
TYRO3,432.6,TYRO3
AC134684.9,464.0,AC134684.9
TEX101,258.0,TEX101
GPX2,133.8,GPX2
HCN2,889.0,HCN2
RBM28,410.0,RBM28
SVOPL,355.4,SVOPL
TBC1D12,775.0,TBC1D12
UPP1,130.3,UPP1
AC022335.1,84.0,AC022335.1
LEFTY1,215.0,LEFTY1
HIST2H4B,103.0,HIST2H4B
RGL3,325.2857142857143,RGL3
C1RL,190.77777777777774,C1RL
CUX2,868.5,CUX2
FABP2,132.0,FABP2
HIST2H2BF,130.0,HIST2H2BF
SLC15A3,280.8333333333333,SLC15A3
TNFRSF14,196.7142857142857,TNFRSF14
NAGA,411.0,NAGA
RNASEH2A,169.33333333333334,RNASEH2A
IL17F,163.0,IL17F
ZNF486,295.5,ZNF486
MADCAM1,337.1111111111111,MADCAM1
A3GALT2,340.0,A3GALT2
CD96,343.71428571428567,CD96
KEL,303.125,KEL
MDM2,196.67857142857144,MDM2
PAIP2,108.2,PAIP2
PI4KB,434.45454545454544,PI4KB
TSC22D3,123.58823529411764,TSC22D3
DOCK10,935.25,DOCK10
PSD2,771.0,PSD2
SOCS3,120.0,SOCS3
MFSD10,350.57142857142856,MFSD10
PEX6,859.0,PEX6
LONRF3,623.0,LONRF3
ZNF7,304.3,ZNF7
LILRA3,292.4705882352941,LILRA3
SLC30A10,354.0,SLC30A10
SNX7,247.75,SNX7
C7orf50,185.83333333333331,C7orf50
KIAA1211,590.375,KIAA1211
LANCL2,245.0,LANCL2
NBPF6,625.6666666666666,NBPF6
PSME2,133.14285714285714,PSME2
ADAMTS7,1686.0,ADAMTS7
SYT10,358.5,SYT10
EGR4,537.5,EGR4
NRDC,988.8,NRDC
RLF,1914.0,RLF
PSG2,226.0,PSG2
CDY2A,548.0,CDY2A
ERGIC1,124.42857142857143,ERGIC1
ZNF705G,300.0,ZNF705G
PRLR,250.31578947368425,PRLR
ZSWIM5,1185.0,ZSWIM5
PNN,319.3333333333333,PNN
ARL16,124.0,ARL16
NKAIN4,160.0,NKAIN4
MINPP1,361.66666666666674,MINPP1
SARNP,171.25,SARNP
PEX10,205.5,PEX10
ZNF578,421.5,ZNF578
TRA2B,131.0,TRA2B
PDE6G,93.6,PDE6G
GNL1,410.625,GNL1
SNRPC,152.33333333333334,SNRPC
SEMA3A,349.4,SEMA3A
ST3GAL3,215.20270270270268,ST3GAL3
MUC21,498.33333333333326,MUC21
ZNF569,336.42857142857144,ZNF569
CD63,184.92857142857144,CD63
UBE2S,168.33333333333334,UBE2S
UNC5B,939.5,UNC5B
ANGEL2,431.33333333333326,ANGEL2
PCBD1,104.0,PCBD1
L1TD1,865.0,L1TD1
ZCCHC13,166.0,ZCCHC13
MAGED2,582.5,MAGED2
VASH2,241.57142857142856,VASH2
PSG8,301.6,PSG8
NSL1,185.25,NSL1
GMIP,397.16666666666674,GMIP
AC008687.8,153.0,AC008687.8
ATP13A5,496.66666666666674,ATP13A5
YTHDF1,305.5,YTHDF1
CLEC2A,167.0,CLEC2A
TOP3A,340.27272727272725,TOP3A
HLA-C,286.42307692307685,HLA-C
PTH1R,487.71428571428567,PTH1R
USP15,312.1,USP15
CEL,756.0,CEL
GNL3L,582.0,GNL3L
MS4A4E,104.5,MS4A4E
TMEM132E,1029.0,TMEM132E
TMEM223,148.33333333333334,TMEM223
TAS2R14,317.0,TAS2R14
OR8G5,322.6666666666667,OR8G5
TBC1D3F,495.0,TBC1D3F
OR6C68,312.0,OR6C68
C16orf78,265.0,C16orf78
PBX2,430.0,PBX2
TINAG,294.6666666666667,TINAG
FAAP20,172.625,FAAP20
ZNF616,207.4,ZNF616
CLEC14A,490.0,CLEC14A
NBEA,2174.1666666666665,NBEA
BCLAF3,466.75,BCLAF3
HIST1H3J,136.0,HIST1H3J
HIST1H2AM,130.0,HIST1H2AM
MAFF,144.14285714285714,MAFF
CRABP1,125.0,CRABP1
RAVER1,513.8333333333334,RAVER1
FUT1,365.0,FUT1
CABIN1,1437.0,CABIN1
EIF4E2,206.55555555555557,EIF4E2
NACAD,1562.0,NACAD
CHRNG,491.0,CHRNG
HNRNPD,213.2,HNRNPD
SKIV2L,532.9375,SKIV2L
MAGEB2,319.0,MAGEB2
RAB17,103.71428571428572,RAB17
CISD3,127.0,CISD3
DNTTIP2,506.0,DNTTIP2
CTNND1,745.1142857142858,CTNND1
MAS1L,378.0,MAS1L
CR753845.,23.0,CR753845.
AC012314.9,166.5,AC012314.9
AC006449.,121.0,AC006449.
AC012314.31,166.5,AC012314.31
YY1AP1,573.6470588235294,YY1AP1
C19orf81,177.5,C19orf81
PGA4,250.0,PGA4
IKZF4,392.16666666666674,IKZF4
RHBDL3,314.6,RHBDL3
SLC25A47,235.0,SLC25A47
ZFYVE16,685.1428571428571,ZFYVE16
SUSD6,303.0,SUSD6
HLA-DQB1,212.2258064516129,HLA-DQB1
OR2G3,309.0,OR2G3
TAC3,119.8,TAC3
ANGPTL3,460.0,ANGPTL3
ZNF180,315.625,ZNF180
CD84,299.6,CD84
NOC4L,393.0,NOC4L
TSHZ3,557.0,TSHZ3
BBOF1,239.33333333333331,BBOF1
F12,615.0,F12
USP36,343.6315789473685,USP36
TCTE3,198.0,TCTE3
JMY,988.0,JMY
FPGT,236.57142857142856,FPGT
VXN,122.5,VXN
UBD,165.0,UBD
TDRD10,358.5,TDRD10
VWA7,891.0,VWA7
VSIG10,364.5,VSIG10
TMCO6,165.25,TMCO6
PTX3,381.0,PTX3
DLK2,358.0,DLK2
ATP1A2,914.3333333333335,ATP1A2
KCNG4,387.5,KCNG4
MRPL30,141.0,MRPL30
AHI1,542.7692307692306,AHI1
GIT2,635.7777777777778,GIT2
ZBTB24,697.0,ZBTB24
TAC1,118.0,TAC1
GGPS1,269.6666666666667,GGPS1
ANKRD13C,523.5,ANKRD13C
AACS,445.0,AACS
TCP1,227.72727272727272,TCP1
RAC1,201.5,RAC1
CRIP3,142.25,CRIP3
EIF4G1,859.5862068965519,EIF4G1
ZNF222,344.0,ZNF222
AC068790.8,130.0,AC068790.8
METTL13,618.3333333333334,METTL13
SYTL3,593.0,SYTL3
MTFR1,218.16666666666663,MTFR1
MPIG6B,215.46153846153842,MPIG6B
VAMP4,140.66666666666666,VAMP4
DMAC2,169.53846153846158,DMAC2
OPN1MW2,264.0,OPN1MW2
LRRC71,559.0,LRRC71
BEST3,287.0,BEST3
ZNF675,156.5,ZNF675
AQP2,246.0,AQP2
KRTAP21-2,83.0,KRTAP21-2
FKBPL,349.0,FKBPL
TRAPPC2L,108.63636363636364,TRAPPC2L
CYP2F1,266.0,CYP2F1
DCUN1D5,97.6,DCUN1D5
NOP16,170.42857142857142,NOP16
DDI2,200.33333333333331,DDI2
RSC1A1,617.0,RSC1A1
S100A6,88.75,S100A6
NRP2,747.0,NRP2
EVA1A,141.57142857142858,EVA1A
IKZF5,419.0,IKZF5
C5orf67,122.0,C5orf67
REP15,236.0,REP15
SAP30,220.0,SAP30
CYLD,593.75,CYLD
ALKBH2,179.4285714285714,ALKBH2
CFP,380.0,CFP
TMEM176A,199.8,TMEM176A
SPRR4,79.0,SPRR4
IVL,585.0,IVL
KIAA1191,186.22222222222226,KIAA1191
CSNK1G3,374.375,CSNK1G3
DPF1,282.09090909090907,DPF1
LCE2A,106.0,LCE2A
LCE2B,110.0,LCE2B
ERP29,142.25,ERP29
MAGED4B,475.71428571428567,MAGED4B
