Genes,Domain Number,Norm_Symbol
RBFOX2,2,RBFOX2
UNC13B,4,UNC13B
NINJ1,1,NINJ1
ZNF572,1,ZNF572
CGNL1,1,CGNL1
TIMM9,1,TIMM9
FTCD,3,FTCD
CHMP5,1,CHMP5
PRDM2,3,PRDM2
PDHA1,1,PDHA1
ARHGEF18,2,ARHGEF18
BMPR1B,3,BMPR1B
TOMM20L,1,TOMM20L
GPR108,1,GPR108
TUSC3,1,TUSC3
OSBP2,2,OSBP2
CD8A,1,CD8A
EVC2,1,EVC2
ALDH3B1,1,ALDH3B1
RORA,2,RORA
CNN2,2,CNN2
SAV1,1,SAV1
MIB1,6,MIB1
CTNS,1,CTNS
DRD1,1,DRD1
INSL3,1,INSL3
SKIV2L,5,SKIV2L
CLEC16A,1,CLEC16A
CCK,1,CCK
LILRA1,1,LILRA1
PLEKHA7,1,PLEKHA7
PRR5L,1,PRR5L
FOXB2,1,FOXB2
SRP54,3,SRP54
CDC14B,2,CDC14B
N4BP2,3,N4BP2
DNMBP,5,DNMBP
HABP4,2,HABP4
STAU2,2,STAU2
LOXL3,2,LOXL3
ATL1,1,ATL1
MAP3K15,2,MAP3K15
FARSB,4,FARSB
GATA6,2,GATA6
MAP7D3,1,MAP7D3
LY6G6F,1,LY6G6F
HSPA1L,1,HSPA1L
FGF10,1,FGF10
LY6G6E,1,LY6G6E
NUP98,2,NUP98
TUBGCP3,2,TUBGCP3
INIP,1,INIP
NFIX,3,NFIX
LY6G6D,1,LY6G6D
C6orf15,1,C6orf15
MARCH8,1,MARCH8
MYOM3,3,MYOM3
MOGAT1,1,MOGAT1
PGAP1,1,PGAP1
SOD1,1,SOD1
HSPA1A,1,HSPA1A
HTRA2,2,HTRA2
PTTG1,1,PTTG1
KANK3,3,KANK3
HSPA1B,1,HSPA1B
CCNDBP1,1,CCNDBP1
YTHDF2,1,YTHDF2
DAB2,1,DAB2
CD320,1,CD320
C14orf180,1,C14orf180
C3,10,C3
CAPN14,2,CAPN14
C7orf50,1,C7orf50
FRAT1,1,FRAT1
COPS5,2,COPS5
PSMB8,1,PSMB8
CLP1,3,CLP1
FRAT2,1,FRAT2
GPER1,1,GPER1
MAP4K5,2,MAP4K5
SPATC1L,2,SPATC1L
FZD3,2,FZD3
NELFE,1,NELFE
MEFV,4,MEFV
PSORS1C1,1,PSORS1C1
NDUFA7,1,NDUFA7
ZKSCAN8,3,ZKSCAN8
GPR146,1,GPR146
PSORS1C2,1,PSORS1C2
YPEL4,1,YPEL4
SLC26A5,2,SLC26A5
RPS28,1,RPS28
PSMB9,1,PSMB9
AUP1,1,AUP1
PPP1R42,2,PPP1R42
SQLE,3,SQLE
ANKRD2,2,ANKRD2
HELZ2,3,HELZ2
DIAPH2,4,DIAPH2
C10orf88,1,C10orf88
GALR3,1,GALR3
CDIP1,1,CDIP1
DOK1,2,DOK1
TMEM209,1,TMEM209
ZNF705G,2,ZNF705G
RAB33A,1,RAB33A
PFKL,1,PFKL
TRDN,1,TRDN
DEFB4B,1,DEFB4B
PTPRA,1,PTPRA
COPS3,1,COPS3
FBXW10,1,FBXW10
SSMEM1,1,SSMEM1
EPB42,3,EPB42
P2RX5,1,P2RX5
NUS1,1,NUS1
LSS,2,LSS
ACER3,1,ACER3
GOLGA8K,1,GOLGA8K
PSTK,1,PSTK
CPN1,2,CPN1
TAP1,2,TAP1
ARID3B,1,ARID3B
CTSB,2,CTSB
TMEM174,1,TMEM174
RPA4,1,RPA4
SERINC5,1,SERINC5
NDUFS8,2,NDUFS8
MSRB1,1,MSRB1
VWCE,2,VWCE
ARFGEF1,4,ARFGEF1
TMEM62,1,TMEM62
TRPC4,2,TRPC4
SEC61G,1,SEC61G
RAD52,1,RAD52
PSMC2,2,PSMC2
IL17RA,3,IL17RA
MTMR8,1,MTMR8
PRSS1,1,PRSS1
MZT2B,1,MZT2B
DNAJA4,3,DNAJA4
TMEM121B,1,TMEM121B
SLC25A42,1,SLC25A42
LYZL4,1,LYZL4
PGAP2,1,PGAP2
RAD51D,1,RAD51D
IL4,1,IL4
PKD1,7,PKD1
FOXD1,1,FOXD1
SLC7A1,2,SLC7A1
CNOT4,2,CNOT4
WDR61,1,WDR61
PCGF6,1,PCGF6
PDE1C,2,PDE1C
BTF3,1,BTF3
SEPHS1,2,SEPHS1
PMPCB,2,PMPCB
LGALS9B,1,LGALS9B
DSG2,1,DSG2
CD99,1,CD99
LDLRAD2,1,LDLRAD2
VPS16,2,VPS16
ZNF280C,1,ZNF280C
MRPS30,1,MRPS30
XKR6,1,XKR6
MLH3,4,MLH3
PRSS2,1,PRSS2
TBL2,1,TBL2
POMC,3,POMC
PSMD13,1,PSMD13
JAK3,4,JAK3
CHRNA10,2,CHRNA10
GMEB2,1,GMEB2
ANKRD30A,3,ANKRD30A
MAP4,1,MAP4
GJD2,1,GJD2
CLPB,5,CLPB
EED,1,EED
CDK15,1,CDK15
HSPG2,8,HSPG2
OPRD1,1,OPRD1
UBXN2B,2,UBXN2B
BAZ2B,5,BAZ2B
SNX30,1,SNX30
ACTC1,1,ACTC1
PCED1A,1,PCED1A
SLC46A2,1,SLC46A2
ANK1,6,ANK1
DIP2C,2,DIP2C
RPL3L,1,RPL3L
UFM1,1,UFM1
RIC8A,1,RIC8A
TMPRSS3,3,TMPRSS3
ZFP57,2,ZFP57
GRIA3,3,GRIA3
ZNF829,2,ZNF829
OCM,1,OCM
B3GAT3,1,B3GAT3
TMEM89,1,TMEM89
TNP2,1,TNP2
SLC12A7,2,SLC12A7
CARMIL1,3,CARMIL1
B3GNT6,1,B3GNT6
BTNL2,1,BTNL2
RFFL,1,RFFL
ZNF345,3,ZNF345
ITGB1BP2,2,ITGB1BP2
RMI2,1,RMI2
LIPF,1,LIPF
HCN1,3,HCN1
SIRT3,1,SIRT3
AC099489.1,4,AC099489.1
AC004223.3,2,AC004223.3
MYO6,2,MYO6
MAP3K19,1,MAP3K19
FAM9C,1,FAM9C
ADGRG4,3,ADGRG4
ARHGAP18,1,ARHGAP18
SOCS1,2,SOCS1
GABPB1,2,GABPB1
RELN,2,RELN
TPM4,2,TPM4
ZSCAN9,2,ZSCAN9
PRM2,1,PRM2
RHOT2,3,RHOT2
ZNF790,3,ZNF790
LILRB1,2,LILRB1
PRM1,1,PRM1
NUP42,1,NUP42
LY6E,1,LY6E
KIF3A,1,KIF3A
MAP2K1,1,MAP2K1
STARD3NL,1,STARD3NL
CAMTA1,3,CAMTA1
MCM3,4,MCM3
TENT5A,1,TENT5A
CDX1,2,CDX1
ZNF75A,3,ZNF75A
NOLC1,1,NOLC1
ZFP37,2,ZFP37
VPS13A,6,VPS13A
PVALB,1,PVALB
NCAM1,3,NCAM1
TIGD7,3,TIGD7
ZNF789,2,ZNF789
RSPH10B,1,RSPH10B
MAGEA12,2,MAGEA12
SLIT2,6,SLIT2
SMPD4,1,SMPD4
ZNF263,4,ZNF263
LIG3,5,LIG3
YBEY,1,YBEY
SLCO4A1,2,SLCO4A1
TMEM41B,1,TMEM41B
SNAPC5,1,SNAPC5
NRTN,1,NRTN
SLC35A2,1,SLC35A2
SLC22A11,1,SLC22A11
EXTL3,2,EXTL3
CD8B,1,CD8B
SFXN1,1,SFXN1
ZKSCAN5,3,ZKSCAN5
DEFB103B,1,DEFB103B
UNC79,1,UNC79
RPL29,1,RPL29
ERC1,2,ERC1
ATP10B,3,ATP10B
LYL1,1,LYL1
CCZ1,1,CCZ1
ZNF394,3,ZNF394
HELLS,2,HELLS
SPEF2,2,SPEF2
PON1,1,PON1
COX8C,1,COX8C
GET1,1,GET1
LAMB2,2,LAMB2
ZAP70,2,ZAP70
CLEC4G,1,CLEC4G
METTL21C,1,METTL21C
TMEM161A,1,TMEM161A
ATXN3L,2,ATXN3L
RGPD1,3,RGPD1
EHD3,4,EHD3
FUT6,2,FUT6
MIDN,1,MIDN
LTO1,1,LTO1
ANKRD54,2,ANKRD54
POTEB2,2,POTEB2
PLGLB1,1,PLGLB1
IL22RA1,1,IL22RA1
ZNF30,2,ZNF30
CCT6B,1,CCT6B
ATP11A,4,ATP11A
TTR,1,TTR
SRY,1,SRY
BRS3,1,BRS3
NEK9,2,NEK9
SH3BGR,1,SH3BGR
CCND1,2,CCND1
SLC26A6,2,SLC26A6
WRB-SH3BGR,2,WRB-SH3BGR
NCALD,4,NCALD
CELF5,1,CELF5
KLHL5,3,KLHL5
PRR30,1,PRR30
LRP5L,1,LRP5L
SLC35F1,1,SLC35F1
AUH,1,AUH
MPIG6B,1,MPIG6B
ADCY9,1,ADCY9
WNT8A,1,WNT8A
TMED10,1,TMED10
OSR2,1,OSR2
NAP1L4,1,NAP1L4
IPO7,2,IPO7
GTF2A1,1,GTF2A1
UNC5C,5,UNC5C
ACYP1,1,ACYP1
MORN4,1,MORN4
ST8SIA4,1,ST8SIA4
AL355315.1,1,AL355315.1
YWHAQ,1,YWHAQ
TBC1D12,1,TBC1D12
NFIL3,2,NFIL3
CCDC168,1,CCDC168
HOGA1,1,HOGA1
VAMP3,1,VAMP3
UBL3,1,UBL3
DLG5,5,DLG5
RPS4Y1,4,RPS4Y1
ZNF385B,1,ZNF385B
KAZN,2,KAZN
TAF15,2,TAF15
EIF3L,1,EIF3L
LIN7C,2,LIN7C
STMN3,1,STMN3
FOXI1,1,FOXI1
PDZD7,1,PDZD7
ZC4H2,1,ZC4H2
RPS13,2,RPS13
MAPK9,1,MAPK9
MAP3K1,1,MAP3K1
FGFR4,3,FGFR4
MAP4K3,2,MAP4K3
TCF23,1,TCF23
PI4K2A,1,PI4K2A
HOMER2,1,HOMER2
C10orf62,1,C10orf62
RNF39,2,RNF39
TMEM51,1,TMEM51
LIPK,1,LIPK
WNK2,2,WNK2
DAZ2,1,DAZ2
TEX30,1,TEX30
SAP18,1,SAP18
HTATSF1,1,HTATSF1
LZTS2,1,LZTS2
TMEM178A,1,TMEM178A
BEND7,1,BEND7
SLC24A2,1,SLC24A2
LCA5L,1,LCA5L
PPP1R11,1,PPP1R11
VAX1,1,VAX1
KYNU,1,KYNU
CCDC9B,1,CCDC9B
SFXN3,1,SFXN3
NME5,2,NME5
NCKIPSD,2,NCKIPSD
CELF4,1,CELF4
KCNK18,1,KCNK18
LARS2,2,LARS2
TSPAN4,1,TSPAN4
BTBD1,3,BTBD1
COX6C,1,COX6C
EXOC4,1,EXOC4
NSMCE2,1,NSMCE2
VGLL1,1,VGLL1
POTEE,3,POTEE
PDZD8,2,PDZD8
C2orf76,1,C2orf76
ATP5MD,1,ATP5MD
EMB,2,EMB
C15orf40,1,C15orf40
ELOVL3,1,ELOVL3
TRAM2,2,TRAM2
POLR2J,1,POLR2J
SCARF1,1,SCARF1
FUT3,2,FUT3
ZKSCAN4,3,ZKSCAN4
HRH2,1,HRH2
DUSP7,2,DUSP7
ZFY,3,ZFY
CELSR3,7,CELSR3
PITX3,2,PITX3
HADH,2,HADH
TAF5,2,TAF5
SLC18A2,1,SLC18A2
AQR,3,AQR
RNH1,2,RNH1
LRWD1,1,LRWD1
PMS1,3,PMS1
LARP4B,1,LARP4B
WASHC5,1,WASHC5
CPA2,2,CPA2
NDUFB10,1,NDUFB10
POC1A,1,POC1A
ZNF792,2,ZNF792
NKAPL,2,NKAPL
XDH,6,XDH
NACC1,2,NACC1
POLR2M,1,POLR2M
CCDC71,1,CCDC71
MOSPD3,1,MOSPD3
ZSCAN26,2,ZSCAN26
NQO2,1,NQO2
PGD,2,PGD
KLHDC8B,1,KLHDC8B
MAGEA2,2,MAGEA2
ANAPC4,2,ANAPC4
VPS13B,3,VPS13B
FUT5,2,FUT5
PGBD1,2,PGBD1
ORMDL1,1,ORMDL1
TM6SF1,1,TM6SF1
C3orf84,1,C3orf84
HLA-F,2,HLA-F
PIK3C2A,6,PIK3C2A
TRMT1,2,TRMT1
PLEKHB2,1,PLEKHB2
MAGEA6,2,MAGEA6
NCF4,3,NCF4
CD40LG,1,CD40LG
CCS,2,CCS
HBEGF,1,HBEGF
HOXA13,2,HOXA13
KIR2DS2,1,KIR2DS2
EFHC1,1,EFHC1
HDGFL3,1,HDGFL3
LSM5,1,LSM5
KIR2DL2,1,KIR2DL2
GRK3,3,GRK3
USE1,1,USE1
POLA1,4,POLA1
SPAG11B,2,SPAG11B
ZNF143,1,ZNF143
BNC1,1,BNC1
MYO5A,3,MYO5A
MYO7B,5,MYO7B
OR2C1,1,OR2C1
CEBPD,1,CEBPD
ORC4,3,ORC4
ZFAND2A,1,ZFAND2A
CNGA4,3,CNGA4
RAMAC,1,RAMAC
MYT1L,3,MYT1L
ZBTB42,3,ZBTB42
RHOH,1,RHOH
CCNYL1,1,CCNYL1
CCHCR1,1,CCHCR1
MTMR9,1,MTMR9
CBSL,2,CBSL
ZNF568,2,ZNF568
TBXT,1,TBXT
FLRT3,1,FLRT3
KIR3DP1,1,KIR3DP1
EPM2A,2,EPM2A
CCDC36,1,CCDC36
ACVR2A,2,ACVR2A
UEVLD,3,UEVLD
CHKA,1,CHKA
LIN54,1,LIN54
ARVCF,1,ARVCF
CAMKMT,1,CAMKMT
TMEM131,1,TMEM131
XG,1,XG
PAQR8,1,PAQR8
TTC26,2,TTC26
MACROD2,1,MACROD2
ZMIZ2,1,ZMIZ2
THAP9,2,THAP9
CPLX2,1,CPLX2
EVX1,1,EVX1
HEMK1,3,HEMK1
ZNF92,2,ZNF92
ACSL3,1,ACSL3
C14orf93,1,C14orf93
RBBP8,2,RBBP8
HINT1,1,HINT1
MICB,2,MICB
MNT,1,MNT
MRPL57,1,MRPL57
MIER3,2,MIER3
TCIRG1,1,TCIRG1
KCNB1,3,KCNB1
PLN,1,PLN
STIP1,6,STIP1
LILRB5,2,LILRB5
TPM1,2,TPM1
COMT,1,COMT
LYRM7,1,LYRM7
DEFB104B,1,DEFB104B
ROR2,4,ROR2
GRAMD1A,2,GRAMD1A
SLC6A19,1,SLC6A19
UBR3,1,UBR3
MTRNR2L4,1,MTRNR2L4
UNCX,1,UNCX
C16orf90,1,C16orf90
PLAU,2,PLAU
CETN2,1,CETN2
PRPSAP2,2,PRPSAP2
MBD5,1,MBD5
SLC22A12,1,SLC22A12
SLC39A7,1,SLC39A7
SIX3,2,SIX3
SEL1L2,1,SEL1L2
TGIF2LY,1,TGIF2LY
THOC3,3,THOC3
DTX2,3,DTX2
SLC35B3,1,SLC35B3
HIKESHI,1,HIKESHI
ENKUR,1,ENKUR
ZNF770,1,ZNF770
GCOM1,1,GCOM1
GPR158,1,GPR158
PON3,1,PON3
TRIM31,2,TRIM31
ZNF266,2,ZNF266
MORC2,3,MORC2
RXRB,2,RXRB
THNSL1,2,THNSL1
GABRG3,2,GABRG3
CLUAP1,1,CLUAP1
LILRB4,2,LILRB4
UTP15,2,UTP15
NTSR1,1,NTSR1
ACADSB,3,ACADSB
TAF1B,1,TAF1B
FGF18,1,FGF18
ZNF560,3,ZNF560
CDC42SE2,1,CDC42SE2
PRTFDC1,1,PRTFDC1
RILP,2,RILP
CAMK2A,2,CAMK2A
ANKRA2,2,ANKRA2
SLC6A18,1,SLC6A18
ZNF426,2,ZNF426
ZFAND4,2,ZFAND4
STIM2,2,STIM2
SMIM23,1,SMIM23
SIX2,2,SIX2
MSR1,3,MSR1
RPH3AL,1,RPH3AL
ARL5B,1,ARL5B
MAST4,3,MAST4
NSD1,4,NSD1
SESN1,1,SESN1
CHRNA9,2,CHRNA9
DEFB106B,1,DEFB106B
ZNF532,3,ZNF532
GABRB2,2,GABRB2
DEFB105B,1,DEFB105B
CAMK2D,2,CAMK2D
ARRDC3,2,ARRDC3
DEFB107B,1,DEFB107B
ERLIN1,1,ERLIN1
MAPKBP1,2,MAPKBP1
RBCK1,2,RBCK1
ZNF655,2,ZNF655
PIM2,1,PIM2
TRAF6,3,TRAF6
GABRA6,2,GABRA6
GPNMB,1,GPNMB
EDC3,4,EDC3
FLOT1,2,FLOT1
PRIMA1,1,PRIMA1
ENOX1,1,ENOX1
NANOGP8,1,NANOGP8
SLC6A7,1,SLC6A7
TRIM40,1,TRIM40
PRKCZ,4,PRKCZ
DPYS,1,DPYS
TUBGCP5,2,TUBGCP5
CPA4,2,CPA4
TENM2,2,TENM2
TVP23B,1,TVP23B
RAG1,4,RAG1
DCSTAMP,1,DCSTAMP
RAG2,2,RAG2
NINL,1,NINL
ZC3H12B,3,ZC3H12B
GBF1,2,GBF1
STON2,2,STON2
PRR23D1,1,PRR23D1
AC134684.11,1,AC134684.11
AVPI1,1,AVPI1
INTS9,2,INTS9
CYP7A1,1,CYP7A1
SPDYE16,1,SPDYE16
AC134684.8,1,AC134684.8
DPH6,1,DPH6
ZKSCAN3,3,ZKSCAN3
MARVELD1,1,MARVELD1
LCP2,2,LCP2
C11orf74,1,C11orf74
AC134684.9,1,AC134684.9
NAA60,1,NAA60
DROSHA,3,DROSHA
EPHB6,7,EPHB6
IL7R,2,IL7R
CPEB1,3,CPEB1
IFT52,1,IFT52
FGF19,1,FGF19
ZSCAN31,3,ZSCAN31
ANKDD1B,2,ANKDD1B
CAPS,2,CAPS
CLK3,1,CLK3
IFNLR1,1,IFNLR1
ARHGAP15,2,ARHGAP15
FAAP20,2,FAAP20
LRGUK,2,LRGUK
AC245033.1,4,AC245033.1
AC084121.9,1,AC084121.9
NDRG3,1,NDRG3
TEX45,1,TEX45
SRL,2,SRL
ZNF121,1,ZNF121
FGF4,1,FGF4
PRR18,1,PRR18
DICER1,5,DICER1
AC084121.11,1,AC084121.11
KATNAL1,3,KATNAL1
FGF3,1,FGF3
CEP164,1,CEP164
AC084121.6,1,AC084121.6
TERT,2,TERT
AC084121.12,1,AC084121.12
TXNRD2,2,TXNRD2
PEX11G,1,PEX11G
DBI,1,DBI
ZNF358,2,ZNF358
ZSCAN32,4,ZSCAN32
TRIM10,4,TRIM10
METTL16,1,METTL16
SPTY2D1,1,SPTY2D1
ARX,2,ARX
AVL9,1,AVL9
CD209,1,CD209
NF2,4,NF2
NANP,1,NANP
ANK3,7,ANK3
STPG1,1,STPG1
HRAS,1,HRAS
ZNF597,2,ZNF597
HDDC3,1,HDDC3
RANBP3,1,RANBP3
RNF217,1,RNF217
ANGPTL4,1,ANGPTL4
PRDM10,4,PRDM10
RAB11B,1,RAB11B
IGF2BP3,2,IGF2BP3
NFX1,2,NFX1
GTPBP4,3,GTPBP4
NKAIN2,1,NKAIN2
NLRC3,4,NLRC3
UBN2,2,UBN2
ZFYVE27,1,ZFYVE27
ZFYVE16,2,ZFYVE16
IDI2,1,IDI2
VHL,2,VHL
CNTNAP3,3,CNTNAP3
IQSEC1,2,IQSEC1
SFT2D1,1,SFT2D1
POGLUT2,2,POGLUT2
SHPRH,3,SHPRH
ZNF174,2,ZNF174
NIPAL3,1,NIPAL3
PDE6B,2,PDE6B
WASHC2C,1,WASHC2C
AC084121.8,1,AC084121.8
BIVM-ERCC5,2,BIVM-ERCC5
PDHA2,1,PDHA2
IDI1,1,IDI1
AC084121.7,1,AC084121.7
NT5M,1,NT5M
SRD5A2,1,SRD5A2
GYG2,1,GYG2
FAM151B,1,FAM151B
GANAB,2,GANAB
RCCD1,1,RCCD1
GOLGA8O,1,GOLGA8O
CAPG,1,CAPG
FBXO30,2,FBXO30
KCNQ2,5,KCNQ2
RUFY4,1,RUFY4
LY6L,1,LY6L
GRAMD1B,2,GRAMD1B
SPTLC1,1,SPTLC1
HMX3,1,HMX3
MALSU1,1,MALSU1
HMX2,1,HMX2
PSMA6,2,PSMA6
GRHL3,1,GRHL3
HLA-DRA,2,HLA-DRA
HCST,1,HCST
FZD5,2,FZD5
NRXN2,2,NRXN2
LACC1,1,LACC1
PER3,2,PER3
KCNK6,1,KCNK6
CBWD5,2,CBWD5
MMP11,2,MMP11
PDCD11,2,PDCD11
CCNI2,1,CCNI2
PRXL2C,1,PRXL2C
C22orf15,1,C22orf15
NFKBID,3,NFKBID
CHCHD10,1,CHCHD10
STX10,2,STX10
BRPF1,5,BRPF1
ALAS1,2,ALAS1
C3orf62,1,C3orf62
ARHGEF6,7,ARHGEF6
GRHL1,1,GRHL1
ZNF510,2,ZNF510
RBM4B,2,RBM4B
ERCC5,2,ERCC5
CISH,2,CISH
TDRP,1,TDRP
NUP205,1,NUP205
TSC2,3,TSC2
PCDH11Y,3,PCDH11Y
ZNFX1,2,ZNFX1
TRIM15,5,TRIM15
SNHG32,1,SNHG32
MPC1,1,MPC1
UTS2,1,UTS2
CELA3B,1,CELA3B
SAMD3,1,SAMD3
MRGBP,1,MRGBP
MAGEB18,2,MAGEB18
COL13A1,1,COL13A1
LAS1L,1,LAS1L
MAGEB6B,2,MAGEB6B
LY6H,1,LY6H
STPG2,1,STPG2
MAPKAPK3,1,MAPKAPK3
JCAD,1,JCAD
CNOT9,1,CNOT9
ECHDC1,1,ECHDC1
OGFR,2,OGFR
SCAF4,2,SCAF4
IER2,1,IER2
BACE1,1,BACE1
CAPSL,2,CAPSL
CHUK,3,CHUK
PPP2R3C,1,PPP2R3C
HLA-DRB5,2,HLA-DRB5
RBM14-RBM4,2,RBM14-RBM4
MAGEB6,2,MAGEB6
CDC42,1,CDC42
OCEL1,1,OCEL1
MAGEB5,1,MAGEB5
LRP12,2,LRP12
IRAK2,2,IRAK2
FOS,1,FOS
GPCPD1,2,GPCPD1
MYH11,3,MYH11
FAM177A1,1,FAM177A1
FAM184A,1,FAM184A
POMZP3,1,POMZP3
CELA3A,1,CELA3A
KLF11,1,KLF11
MED9,1,MED9
OR9Q1,1,OR9Q1
TFR2,2,TFR2
USP4,3,USP4
OR9I1,1,OR9I1
CCDC81,2,CCDC81
DHCR7,1,DHCR7
OR6Q1,1,OR6Q1
TFAP4,1,TFAP4
SEPTIN8,1,SEPTIN8
HEPACAM2,1,HEPACAM2
PAPOLG,3,PAPOLG
ABCF1,2,ABCF1
MCM9,3,MCM9
DLGAP2,1,DLGAP2
PLEKHM3,2,PLEKHM3
RBMX,2,RBMX
DNMT3B,3,DNMT3B
L3MBTL3,2,L3MBTL3
NDE1,1,NDE1
CRYGD,1,CRYGD
CDC25A,2,CDC25A
MICALL2,3,MICALL2
MAN1A1,1,MAN1A1
ASF1A,1,ASF1A
PRORP,1,PRORP
AC084121.5,1,AC084121.5
AC084121.13,1,AC084121.13
CD44,1,CD44
PXK,2,PXK
RBM4,2,RBM4
SPATA31A1,2,SPATA31A1
FGF20,1,FGF20
AP3B2,2,AP3B2
FBXL17,2,FBXL17
SFRP5,2,SFRP5
RRP12,1,RRP12
RAB3GAP1,1,RAB3GAP1
IL2RA,1,IL2RA
UNC45A,3,UNC45A
THOC2,3,THOC2
RASSF7,1,RASSF7
ME3,2,ME3
RAB24,1,RAB24
SEL1L,2,SEL1L
DNMT3A,3,DNMT3A
SLC35B4,1,SLC35B4
PRR23D2,1,PRR23D2
DEFB107A,1,DEFB107A
GPR20,1,GPR20
B4GALT6,2,B4GALT6
MLXIPL,1,MLXIPL
RRM2B,1,RRM2B
RBM14,1,RBM14
LEF1,2,LEF1
NEU1,1,NEU1
GNPTG,2,GNPTG
PLGLB2,1,PLGLB2
PRELID1,1,PRELID1
UGT3A1,1,UGT3A1
ZNF337,2,ZNF337
CCL5,1,CCL5
IBTK,3,IBTK
LMNTD2,1,LMNTD2
PPP4R3C,1,PPP4R3C
AP3M1,2,AP3M1
NYX,1,NYX
PAK3,2,PAK3
SH2D6,1,SH2D6
ZRANB3,4,ZRANB3
RGPD2,3,RGPD2
RPS17,1,RPS17
UNKL,3,UNKL
LIPN,1,LIPN
CSF2RA,2,CSF2RA
RTTN,1,RTTN
ERAL1,1,ERAL1
RBM47,1,RBM47
RPL18A,1,RPL18A
MXD3,1,MXD3
TWF2,1,TWF2
MYBL2,3,MYBL2
TLR9,4,TLR9
AC097637.1,5,AC097637.1
UBE2L5,1,UBE2L5
MAD2L1BP,1,MAD2L1BP
CRYGC,1,CRYGC
ARSD,2,ARSD
FKBP15,1,FKBP15
PRKDC,4,PRKDC
DDX27,2,DDX27
HSD17B8,1,HSD17B8
CRYGB,1,CRYGB
AMPH,2,AMPH
SLC34A2,1,SLC34A2
RASD1,1,RASD1
SLC31A2,1,SLC31A2
FAM222B,1,FAM222B
KCNE4,1,KCNE4
SEC13,1,SEC13
VCL,1,VCL
UQCC3,1,UQCC3
FMC1-LUC7L2,1,FMC1-LUC7L2
DEFB105A,1,DEFB105A
ETV1,2,ETV1
AP001458.2,1,AP001458.2
TRPV6,3,TRPV6
TUBA3E,2,TUBA3E
ZNF782,2,ZNF782
CSKMT,1,CSKMT
ANKRD22,2,ANKRD22
JMJD7,1,JMJD7
AC012309.1,1,AC012309.1
SCN1B,1,SCN1B
HDHD5,1,HDHD5
CPA5,2,CPA5
RHOT1,3,RHOT1
NOCT,1,NOCT
SEC31A,1,SEC31A
LBHD1,1,LBHD1
GOLGA7B,1,GOLGA7B
CRYGA,1,CRYGA
ZNF420,3,ZNF420
LUC7L2,1,LUC7L2
LILRA3,1,LILRA3
SLC25A52,1,SLC25A52
EHD4,4,EHD4
RHPN2,2,RHPN2
INTS5,2,INTS5
RAP1GDS1,1,RAP1GDS1
FAM170A,1,FAM170A
CALHM2,1,CALHM2
C11orf98,1,C11orf98
PLA2G4B,3,PLA2G4B
LIPM,1,LIPM
ZNF585A,2,ZNF585A
ZFPM2,1,ZFPM2
CALHM1,1,CALHM1
FAM153B,1,FAM153B
KAZALD1,3,KAZALD1
CRTAC1,3,CRTAC1
SLC25A14,1,SLC25A14
PON2,1,PON2
ELF2,2,ELF2
TSPY2,1,TSPY2
PEMT,1,PEMT
GHRL,2,GHRL
ZNF383,3,ZNF383
DEFB106A,1,DEFB106A
TTC3,1,TTC3
SPTBN5,2,SPTBN5
FHAD1,1,FHAD1
DEFB104A,1,DEFB104A
LIMD1,1,LIMD1
MIF,1,MIF
RFLNB,1,RFLNB
TCF19,1,TCF19
TCP11,1,TCP11
ZNF585B,2,ZNF585B
ZNF561,2,ZNF561
PHF8,3,PHF8
C6orf47,1,C6orf47
MTRNR2L7,1,MTRNR2L7
JDP2,1,JDP2
ACTL6B,1,ACTL6B
OR9Q2,1,OR9Q2
C2orf80,1,C2orf80
CALHM3,1,CALHM3
OR1S2,1,OR1S2
OR1S1,1,OR1S1
OR10Q1,1,OR10Q1
JMJD7-PLA2G4B,4,JMJD7-PLA2G4B
OR10W1,1,OR10W1
ARHGAP11A,1,ARHGAP11A
PAFAH1B1,2,PAFAH1B1
TATDN2,1,TATDN2
BATF,2,BATF
ZSCAN12,2,ZSCAN12
APEX1,1,APEX1
NEURL1,2,NEURL1
MYO3B,3,MYO3B
SRBD1,5,SRBD1
EIF4G3,3,EIF4G3
ZNF248,2,ZNF248
GOLGA8N,1,GOLGA8N
HSD17B4,4,HSD17B4
RSPH3,1,RSPH3
ZSCAN23,2,ZSCAN23
CWF19L1,2,CWF19L1
SMARCA4,7,SMARCA4
TRPV5,4,TRPV5
TAGAP,1,TAGAP
LILRA5,1,LILRA5
KBTBD2,3,KBTBD2
SACM1L,1,SACM1L
ARPP19,1,ARPP19
MICU3,1,MICU3
LILRA4,2,LILRA4
PAM16,1,PAM16
VIPR1,2,VIPR1
ANKRD62,2,ANKRD62
ZG16B,1,ZG16B
GPX5,1,GPX5
PIP4P1,1,PIP4P1
ERG28,1,ERG28
PTP4A3,1,PTP4A3
FAM167A,1,FAM167A
PPP1R10,2,PPP1R10
SLC2A11,1,SLC2A11
GPX6,1,GPX6
MGAM,3,MGAM
TGFB3,2,TGFB3
CXCR2,1,CXCR2
VASN,2,VASN
RPUSD4,1,RPUSD4
EGFL6,2,EGFL6
VKORC1L1,1,VKORC1L1
GLIS2,1,GLIS2
SLC5A5,1,SLC5A5
EIF1B,1,EIF1B
GALNT10,3,GALNT10
MRPS18B,1,MRPS18B
HARS,3,HARS
