Genes,Average_GC,Norm_Symbol
ENTPD8,67.44,ENTPD8
MAN1A1,37.6,MAN1A1
ZNF566,40.96,ZNF566
OR11H1,43.43,OR11H1
GPC1,64.64,GPC1
AC138969.1,55.2,AC138969.1
FAM216B,37.45,FAM216B
PLA2G2A,52.09,PLA2G2A
FGD2,53.53,FGD2
HSPG2,56.09000000000001,HSPG2
NMBR,35.41,NMBR
TLDC2,50.21,TLDC2
KCNH3,57.69,KCNH3
ATP2A1,54.04,ATP2A1
RNASE10,51.91,RNASE10
LYSMD3,35.92,LYSMD3
TPRN,62.56,TPRN
LKAAEAR1,75.2,LKAAEAR1
TMEM119,56.19,TMEM119
FAM168A,41.55,FAM168A
OR4D5,48.77,OR4D5
ITM2C,58.43,ITM2C
CRMP1,48.98,CRMP1
UNC93A,49.13,UNC93A
KDELR1,53.35999999999999,KDELR1
KLRF1,35.1,KLRF1
GCN1,49.67,GCN1
S100A14,57.25,S100A14
MID2,40.1,MID2
PTRHD1,45.88,PTRHD1
CASS4,45.22,CASS4
KRTAP10-6,65.43,KRTAP10-6
FAM102A,55.9,FAM102A
IL37,50.46,IL37
NR2C2,42.09000000000001,NR2C2
HEY1,46.41,HEY1
CMPK2,44.85999999999999,CMPK2
SERPINE3,40.64,SERPINE3
CADPS2,36.56,CADPS2
SEMA3G,59.63,SEMA3G
HEATR5A,39.34,HEATR5A
SPATA31D3,46.4,SPATA31D3
C4B,55.25444444444444,C4B
GPX2,47.98,GPX2
NUFIP1,38.71,NUFIP1
TTC9C,47.12,TTC9C
AC018630.2,36.64,AC018630.2
GSPT1,42.29,GSPT1
PBRM1,40.81,PBRM1
CSGALNACT1,41.74,CSGALNACT1
SCARF2,63.11,SCARF2
SPTBN4,51.05,SPTBN4
TOB1,50.17,TOB1
PALMD,37.49,PALMD
CEP295,38.56,CEP295
LTC4S,67.09000000000002,LTC4S
DENND1C,55.65999999999999,DENND1C
ACTL7B,57.97,ACTL7B
TTPA,38.43,TTPA
GRM6,55.63,GRM6
SNAPC1,39.55,SNAPC1
LCE4A,47.67,LCE4A
STAMBP,42.1,STAMBP
PRRX2,54.69,PRRX2
PSEN1,42.73,PSEN1
CHPF2,56.82,CHPF2
METTL24,40.64,METTL24
HIST1H4E,45.8,HIST1H4E
TMEM177,52.47000000000001,TMEM177
EVI5,38.19,EVI5
ACAP3,67.29,ACAP3
TNNI3,57.72,TNNI3
AC171558.1,43.41,AC171558.1
FANCA,50.45,FANCA
NLE1,52.09,NLE1
TEX47,35.91,TEX47
LGALS3BP,58.94,LGALS3BP
OR1J4,48.62,OR1J4
RNF150,38.46,RNF150
MYCBP2,35.73,MYCBP2
ALPK2,44.38,ALPK2
CLCNKB,59.26,CLCNKB
RPL10L,51.72,RPL10L
GDF1,56.96,GDF1
MAP3K4,38.79,MAP3K4
KLHL31,38.88,KLHL31
NMNAT3,41.659999999999975,NMNAT3
MVB12A,50.72,MVB12A
PIK3R4,36.67,PIK3R4
CRHBP,42.28,CRHBP
MCIDAS,52.87,MCIDAS
TNFRSF1A,54.07999999999999,TNFRSF1A
NFATC2,47.94,NFATC2
NUTM2D,56.96,NUTM2D
LSS,53.35272727272727,LSS
CADM4,53.31,CADM4
TSGA10IP,51.57,TSGA10IP
PCDHA3,40.07,PCDHA3
ZNF202,44.44,ZNF202
WDR76,41.85,WDR76
RNASEH2B,40.33,RNASEH2B
MYO18B,45.93,MYO18B
CTCFL,45.43,CTCFL
TBC1D2,48.96,TBC1D2
ALOX5AP,45.66,ALOX5AP
KIF4B,45.66,KIF4B
ST6GALNAC1,48.60999999999999,ST6GALNAC1
NEUROG3,64.24,NEUROG3
WFDC5,51.91,WFDC5
KRTAP4-8,52.63,KRTAP4-8
COX7B,40.81,COX7B
AC270107.3,52.47,AC270107.3
NOM1,47.03,NOM1
SLC5A9,48.99,SLC5A9
SEM1,37.66,SEM1
UGT1A3,43.21,UGT1A3
TAPBP,50.02,TAPBP
MYO1F,52.59,MYO1F
ATPSCKMT,42.72,ATPSCKMT
POFUT2,52.95,POFUT2
FAM219A,47.15999999999999,FAM219A
HMGXB4,41.49,HMGXB4
SESTD1,36.91,SESTD1
RTL8C,60.29,RTL8C
AC000120.3,38.65,AC000120.3
IL12RB1,51.1,IL12RB1
IFNB1,41.72,IFNB1
OR51F2,44.89,OR51F2
AC008758.5,42.27,AC008758.5
NET1,37.0,NET1
TCP11L2,42.31,TCP11L2
GPALPP1,38.86,GPALPP1
HSD17B2,42.38999999999999,HSD17B2
LVRN,37.71,LVRN
C12orf56,41.68,C12orf56
RTF1,45.65,RTF1
PRX,55.82,PRX
RNASE13,51.71,RNASE13
ICA1,40.3,ICA1
CDON,39.95,CDON
H2BFS,60.22,H2BFS
ZNF394,47.92,ZNF394
ENKUR,38.61,ENKUR
CTBP1,60.99,CTBP1
TNFSF11,41.03,TNFSF11
POLE2,41.33,POLE2
MYLK3,46.64,MYLK3
DNAJA2,42.53,DNAJA2
VAMP2,58.14,VAMP2
VIL1,50.01,VIL1
BRI3BP,48.37,BRI3BP
IGFL3,38.92,IGFL3
SF3B6,43.05,SF3B6
C20orf85,46.81,C20orf85
NKX3-2,62.88,NKX3-2
GOLGA6L22,50.815,GOLGA6L22
C5orf49,44.43,C5orf49
SYMPK,51.56,SYMPK
PPP1R7,48.38,PPP1R7
LYPLAL1,33.93,LYPLAL1
TMED7,37.81,TMED7
VPS13C,34.88,VPS13C
SCYL2,37.97,SCYL2
CCNI,39.07,CCNI
POP4,50.37,POP4
PCDHB11,48.55,PCDHB11
ELMO1,41.67000000000001,ELMO1
CFAP54,38.09,CFAP54
RPAP1,50.42,RPAP1
LDLR,51.08,LDLR
UBE2T,40.71,UBE2T
PKIB,37.28,PKIB
CRTAC1,48.15,CRTAC1
ANGPT2,40.71,ANGPT2
LIMK1,54.59,LIMK1
NTSR1,55.17,NTSR1
ISG15,56.44,ISG15
GDE1,40.14,GDE1
EAF2,36.14,EAF2
CAPG,51.32,CAPG
AC091057.6,38.13,AC091057.6
PXT1,42.8,PXT1
STAMBPL1,39.34,STAMBPL1
STRBP,39.12,STRBP
MRPS25,47.96,MRPS25
WDR83,55.03,WDR83
SYNDIG1L,50.06,SYNDIG1L
CALB1,36.25,CALB1
FOSL1,55.65999999999999,FOSL1
PWP2,56.89,PWP2
C17orf113,53.89,C17orf113
C6orf58,35.52,C6orf58
TRAPPC2B,50.95,TRAPPC2B
DMAC2,51.01,DMAC2
VASH1,55.57,VASH1
RTP4,42.42,RTP4
GBA2,50.70000000000001,GBA2
RFFL,43.34,RFFL
TMEM130,52.26000000000001,TMEM130
KU645196.1,48.07999999999999,KU645196.1
GPT2,51.98,GPT2
HEYL,51.58,HEYL
DMWD,57.63999999999999,DMWD
NACA2,45.17,NACA2
AIDA,38.46,AIDA
NUTM2E,58.18,NUTM2E
SPATA4,38.32,SPATA4
DUXB,41.55,DUXB
HIRIP3,58.04,HIRIP3
ARG1,37.97,ARG1
FOXP4,54.7,FOXP4
FSCB,46.6,FSCB
FAM163A,47.32,FAM163A
ADIPOR1,44.28,ADIPOR1
C19orf73,62.94,C19orf73
JCHAIN,37.02,JCHAIN
EXOC8,43.25,EXOC8
AL022312.1,57.75,AL022312.1
HOXC4,51.68,HOXC4
ZNF705G,38.91,ZNF705G
ADAMTS8,53.31,ADAMTS8
ERRFI1,42.8,ERRFI1
GAB3,40.81,GAB3
KRTAP25-1,41.35,KRTAP25-1
PPP1R21,39.73,PPP1R21
SOS1,37.8,SOS1
CEND1,66.32,CEND1
SECISBP2L,36.73,SECISBP2L
TRIP6,56.08000000000001,TRIP6
B3GALT2,32.61,B3GALT2
EML3,57.83000000000001,EML3
C17orf97,49.85,C17orf97
ZDHHC1,55.52,ZDHHC1
GOLGA6D,51.81,GOLGA6D
AQP9,40.63,AQP9
ASTN1,41.64,ASTN1
CCDC126,41.98,CCDC126
CD27,51.46,CD27
CCDC15,37.57,CCDC15
NT5M,49.17,NT5M
CCN4,48.12,CCN4
RCC2,51.69,RCC2
SOAT1,39.63,SOAT1
FAM149B1,39.89,FAM149B1
RHOF,56.88999999999999,RHOF
NGLY1,37.55,NGLY1
MASP2,50.21,MASP2
NXF3,44.26,NXF3
ZNF292,37.68,ZNF292
EXTL1,55.41,EXTL1
FGFR4,60.13000000000001,FGFR4
TXNDC8,39.93,TXNDC8
FAM210A,40.65,FAM210A
BHLHB9,42.71,BHLHB9
FAM205C,47.20000000000001,FAM205C
CDKN1A,54.4,CDKN1A
C3orf49,38.21,C3orf49
RAPGEF4,40.56,RAPGEF4
AC010761.1,53.77,AC010761.1
SPOPL,36.68,SPOPL
UROS,46.11,UROS
ILF3,50.89999999999999,ILF3
NRM,55.10857142857145,NRM
SLC30A8,38.63,SLC30A8
MZT2B,57.61000000000001,MZT2B
LAMTOR3,34.87,LAMTOR3
CLDN22,41.07,CLDN22
GOT2,44.15,GOT2
PHF19,51.61,PHF19
MYH2,39.32,MYH2
DACT2,51.15,DACT2
SELENON,56.77,SELENON
TBC1D3B,59.93571428571429,TBC1D3B
MAP3K8,42.62,MAP3K8
PPIL3,41.38999999999999,PPIL3
OR1A1,41.12,OR1A1
GTF3C1,49.42,GTF3C1
CAMKK1,57.17,CAMKK1
SNU13,46.8,SNU13
ERMARD,43.295,ERMARD
TSPAN14,49.31,TSPAN14
HPS1,49.72,HPS1
ANKRD28,37.11,ANKRD28
IKBIP,40.95,IKBIP
MRPL32,40.68,MRPL32
PIGB,39.99,PIGB
AP1M1,51.59000000000001,AP1M1
GRAMD2B,38.95,GRAMD2B
DYRK1A,39.17,DYRK1A
GPR20,61.78,GPR20
IGDCC3,51.84,IGDCC3
ZNF660,45.57,ZNF660
HMGCR,37.88,HMGCR
RALGDS,58.92000000000001,RALGDS
POLR2L,61.02,POLR2L
RAB25,51.24,RAB25
B3GNT6,53.6,B3GNT6
LCMT1,45.35,LCMT1
XBP1,44.93,XBP1
CCDC201,46.23,CCDC201
YBX1,40.63,YBX1
LANCL3,38.9,LANCL3
UBXN4,39.75,UBXN4
OR5B12,36.04,OR5B12
RHEB,42.0,RHEB
SDHAF1,63.38,SDHAF1
GPR161,46.82999999999999,GPR161
KLF18,53.69,KLF18
LEMD3,35.54,LEMD3
QTRT1,52.81,QTRT1
SYT9,40.11,SYT9
PDCD2L,45.05,PDCD2L
OR3A1,38.34,OR3A1
BCL7A,52.98,BCL7A
ZDHHC11,47.93,ZDHHC11
ADAM18,34.425000000000004,ADAM18
TGFA,43.95,TGFA
FAM20A,44.82,FAM20A
HLA-E,55.481428571428566,HLA-E
WWC3,46.21,WWC3
SAPCD2,63.63,SAPCD2
ANOS1,39.59,ANOS1
CDC14B,42.84,CDC14B
RPA1,44.49,RPA1
MRPL13,35.86,MRPL13
DNM1,54.26,DNM1
ANKRD22,37.87,ANKRD22
MMP8,39.04,MMP8
RSRC2,39.84,RSRC2
MYF5,44.78,MYF5
AL096814.2,51.23,AL096814.2
GRXCR1,37.43,GRXCR1
CNR1,39.1,CNR1
EIF2AK2,41.14,EIF2AK2
RPL17-C18orf32,43.63,RPL17-C18orf32
FAM200A,44.01,FAM200A
ATAD3B,58.83,ATAD3B
ZSCAN9,43.42,ZSCAN9
CLDN19,59.56,CLDN19
CCL4L2,49.028684210526286,CCL4L2
KCNJ3,34.96,KCNJ3
GLRX5,45.13,GLRX5
PGAP1,36.0,PGAP1
ACOT6,47.45000000000001,ACOT6
TMCO2,43.03,TMCO2
SLC19A2,38.65,SLC19A2
RICTOR,35.53,RICTOR
SPESP1,40.65,SPESP1
UGT2B10,33.02,UGT2B10
POLR3H,55.14,POLR3H
STAU1,43.2,STAU1
CLDN20,40.37,CLDN20
TANC1,43.43,TANC1
AKNA,50.65,AKNA
RPL14,44.35999999999999,RPL14
EPN3,58.65,EPN3
SLC52A2,65.97,SLC52A2
ANKRD33,58.03,ANKRD33
SLC25A45,59.38,SLC25A45
BATF,44.52,BATF
OR52I1,42.82,OR52I1
TNP2,48.21,TNP2
LBX2,60.07,LBX2
FHIT,38.91,FHIT
PLA2G2C,51.69,PLA2G2C
L3MBTL2,52.38,L3MBTL2
DMTN,54.92,DMTN
CCNO,60.93,CCNO
CLEC12B,35.63,CLEC12B
KIF20A,45.25,KIF20A
ERICH2,37.22,ERICH2
CLDND2,66.05,CLDND2
DGAT2,52.02,DGAT2
MTFP1,57.17,MTFP1
AGAP1,47.33,AGAP1
RAD51D,47.17,RAD51D
AL034430.1,37.41,AL034430.1
SUCLG2,39.38,SUCLG2
ASB3,39.55,ASB3
ELAVL3,53.1,ELAVL3
HIST1H2BJ,41.7,HIST1H2BJ
SLC26A2,41.19,SLC26A2
SUSD3,52.28,SUSD3
CCL3L3,52.68333333333334,CCL3L3
CBX1,45.92000000000001,CBX1
HNRNPAB,53.61000000000001,HNRNPAB
AC171558.5,44.36,AC171558.5
RHBDL2,44.60999999999999,RHBDL2
PYY,48.49,PYY
AP4S1,43.38,AP4S1
FAM47E-STBD1,42.11,FAM47E-STBD1
FOS,54.04,FOS
LAMA4,39.13999999999999,LAMA4
CXorf40A,52.53,CXorf40A
ZRSR2,41.5,ZRSR2
TTC23L,39.96,TTC23L
MCTS2P,44.48,MCTS2P
TTC23,41.8,TTC23
TMEM35B,51.77,TMEM35B
C1GALT1C1,39.69,C1GALT1C1
DLST,44.92,DLST
TMPRSS11E,36.715,TMPRSS11E
KLHL42,43.01,KLHL42
MRPS21,46.58,MRPS21
RNF167,52.54,RNF167
COPB2,37.58,COPB2
ZNF525,43.64,ZNF525
SCYGR2,66.12,SCYGR2
MEST,44.95,MEST
SLC16A2,43.59,SLC16A2
ZSWIM1,50.32,ZSWIM1
PPM1E,39.61,PPM1E
AMHR2,52.71,AMHR2
ARIH2OS,61.35,ARIH2OS
DLL1,53.53,DLL1
ZSWIM2,32.75,ZSWIM2
BNIP2,38.55,BNIP2
ABCC11,45.62,ABCC11
CEBPZOS,38.06,CEBPZOS
WASHC3,36.36,WASHC3
MYBPC1,38.13,MYBPC1
NLRC4,42.85,NLRC4
ACTL6B,53.08,ACTL6B
ARID5A,55.34,ARID5A
TYW3,40.26,TYW3
SCFD2,39.78,SCFD2
STYXL1,48.42000000000001,STYXL1
TMEM170B,37.06,TMEM170B
TRIM51GP,35.76,TRIM51GP
OR4F3,45.73,OR4F3
GBGT1,54.87,GBGT1
MDFIC,36.79,MDFIC
TIMM8A,43.74,TIMM8A
CTSH,52.42,CTSH
ABHD17C,42.95000000000001,ABHD17C
CD69,35.34,CD69
SLCO1C1,34.9,SLCO1C1
CAPN15,65.0,CAPN15
ADAM28,35.71,ADAM28
BRS3,37.81,BRS3
AMOT,41.97,AMOT
CXADR,39.97,CXADR
MMP27,39.22,MMP27
CTTNBP2,38.77,CTTNBP2
ZNF571,39.97,ZNF571
AKR1B15,45.52,AKR1B15
LSM10,50.71,LSM10
FHL2,44.540000000000006,FHL2
ARHGEF10L,54.39000000000001,ARHGEF10L
CTAGE4,41.83,CTAGE4
PYGB,52.16,PYGB
TRMT112,56.49,TRMT112
ETV5,42.69,ETV5
CHAC2,39.04,CHAC2
LIMD2,66.23,LIMD2
TCERG1L,48.72,TCERG1L
ETDB,43.13,ETDB
LPP,39.17000000000001,LPP
PCSK7,50.91,PCSK7
PCSK1,39.92,PCSK1
U2AF1L5,43.61,U2AF1L5
CNKSR2,35.07,CNKSR2
GTPBP3,56.99,GTPBP3
BCL2L14,40.68,BCL2L14
AC087498.1,66.35,AC087498.1
CDK18,55.71,CDK18
CXCL1,49.73,CXCL1
SLFN5,41.59,SLFN5
DNAJC19,39.17,DNAJC19
ZNF121,41.98,ZNF121
CLTRN,39.71,CLTRN
GNAZ,57.36,GNAZ
ALK,43.51,ALK
OAZ1,64.06,OAZ1
CERKL,37.01,CERKL
ONECUT2,44.28,ONECUT2
HRCT1,61.39,HRCT1
EAF1,43.46,EAF1
PPP1R13L,53.45,PPP1R13L
GAB1,38.61000000000001,GAB1
CASQ2,43.23,CASQ2
YIPF5,35.8,YIPF5
IL27,54.11,IL27
CT476828.20,73.35,CT476828.20
FBXL6,66.45,FBXL6
NAALADL1,54.38,NAALADL1
SRSF10,39.02,SRSF10
YWHAB,40.39,YWHAB
PRAMEF6,47.55,PRAMEF6
TEN1,49.22,TEN1
C9orf129,48.14,C9orf129
FRMD1,58.22000000000001,FRMD1
RASGEF1A,56.36,RASGEF1A
ARNT,41.19,ARNT
RAB8A,53.57,RAB8A
FOXD2,64.92,FOXD2
SERF1A,43.60411764705883,SERF1A
TUBA1C,45.2,TUBA1C
THEM5,52.42,THEM5
AC008758.1,44.43,AC008758.1
CUL2,39.71999999999999,CUL2
C12orf45,39.89,C12orf45
SOGA1,51.51,SOGA1
TIAL1,38.16,TIAL1
F2RL2,40.6,F2RL2
FADS3,57.37,FADS3
TPP1,50.28,TPP1
GPATCH4,48.64000000000001,GPATCH4
RRS1,56.28,RRS1
MPND,55.95,MPND
GALNT12,45.52,GALNT12
KIAA1217,40.56,KIAA1217
KCNQ3,43.58,KCNQ3
CD53,39.53,CD53
PICALM,37.29,PICALM
APAF1,39.48,APAF1
PTPRO,37.51,PTPRO
ROPN1B,43.48,ROPN1B
MOG,45.714146341463426,MOG
TCAIM,39.47,TCAIM
S100Z,43.71,S100Z
TRIB3,50.47,TRIB3
PON3,39.29,PON3
NUDT5,44.24,NUDT5
HIST1H4C,49.66,HIST1H4C
PACRGL,38.27,PACRGL
EBF3,48.79999999999999,EBF3
PRAME,50.06,PRAME
LCE1F,67.51,LCE1F
R3HDML,48.35,R3HDML
CSTA,41.8,CSTA
FAM120C,42.69,FAM120C
MEP1B,39.49,MEP1B
COPS9,54.66,COPS9
RNF128,36.73,RNF128
SGF29,48.31,SGF29
LCE2C,49.3,LCE2C
RLN1,38.95,RLN1
WARS2,38.1,WARS2
CHAF1A,51.16,CHAF1A
ZBTB10,38.89,ZBTB10
UBASH3A,49.32,UBASH3A
ARL17A,43.34,ARL17A
PACS2,57.4,PACS2
TMEM69,43.75,TMEM69
LRRC74A,47.2,LRRC74A
FCGR1A,41.93,FCGR1A
ABHD15,52.6,ABHD15
ZNF750,49.08,ZNF750
PROX1,41.17000000000001,PROX1
TEX26,40.64,TEX26
ZDHHC13,37.99,ZDHHC13
TMEM80,55.94,TMEM80
THSD4,42.5,THSD4
LMO1,52.88,LMO1
BEND5,44.07,BEND5
FKBP8,56.63999999999999,FKBP8
TCF4,37.78,TCF4
ADAMTS9,40.09,ADAMTS9
TIGAR,41.85,TIGAR
GAPT,35.7,GAPT
ZG16,50.04,ZG16
AL022318.4,54.12,AL022318.4
ZNF692,54.21,ZNF692
RPL4,42.06,RPL4
CYP3A43,40.68,CYP3A43
SAMD5,39.37,SAMD5
RXRA,62.16,RXRA
SLC45A2,41.06,SLC45A2
KCNG3,42.34,KCNG3
GAGE10,44.45,GAGE10
BTRC,38.96,BTRC
RANBP9,37.08,RANBP9
RBM23,45.96000000000001,RBM23
EIF2AK3,38.53,EIF2AK3
CD247,47.24,CD247
LRRC27,51.67,LRRC27
STK10,48.99,STK10
FARP1,44.52,FARP1
CTXN3,40.41,CTXN3
WDR13,51.72,WDR13
MIOS,36.45,MIOS
UNC5D,38.57,UNC5D
ITGA10,48.41,ITGA10
FAM131A,55.67,FAM131A
SEMA3C,35.82,SEMA3C
IPO9,41.9,IPO9
ZNF423,50.74,ZNF423
CFL2,39.68,CFL2
PON1,40.5,PON1
PLA2G2E,59.6,PLA2G2E
IL17RE,51.85,IL17RE
PFN4,44.06,PFN4
IGFBPL1,49.21,IGFBPL1
YARS,46.35,YARS
MBOAT2,40.14,MBOAT2
CSPP1,38.01,CSPP1
AKNAD1,41.11,AKNAD1
DGCR2,48.62,DGCR2
C1orf74,44.56,C1orf74
PITPNM3,52.01,PITPNM3
ABITRAM,38.71,ABITRAM
FAM131C,57.98,FAM131C
RNF19A,38.61,RNF19A
MAMSTR,57.95,MAMSTR
SYT7,57.14999999999999,SYT7
BCL7C,48.81,BCL7C
ELAVL4,39.85000000000001,ELAVL4
SFT2D3,48.54,SFT2D3
SIGIRR,65.22,SIGIRR
CACNG5,47.17,CACNG5
AC012213.5,38.52,AC012213.5
TUBB8P12,60.93,TUBB8P12
SGPL1,41.07,SGPL1
DPP3,52.26,DPP3
PRMT2,45.21,PRMT2
CD9,51.040000000000006,CD9
IPO4,58.1,IPO4
RPL36A,41.83,RPL36A
HDHD2,38.66,HDHD2
GSTM2,46.7,GSTM2
LCK,49.59000000000001,LCK
AC256236.3,47.87,AC256236.3
CENPL,40.71,CENPL
LHX4,51.4,LHX4
GPR83,44.97,GPR83
CSNK2A3,46.33,CSNK2A3
SLC25A39,61.11000000000001,SLC25A39
QTRT2,38.31,QTRT2
XIAP,41.98,XIAP
INPP5D,48.785,INPP5D
SLC1A4,45.52,SLC1A4
VNN3,37.65999999999999,VNN3
OR10G7,37.47,OR10G7
C6orf136,52.42615384615385,C6orf136
CRIM1,54.88,CRIM1
SRSF7,41.45,SRSF7
GTDC1,36.87,GTDC1
RUBCNL,40.5,RUBCNL
PNN,40.64,PNN
GATD1,60.25,GATD1
UFL1,33.38,UFL1
PLK3,59.51,PLK3
ACBD3,41.45,ACBD3
YBX2,58.02,YBX2
MTMR12,44.08000000000001,MTMR12
MYZAP,42.17,MYZAP
MARCH9,55.49,MARCH9
CCNB3,39.21,CCNB3
FADD,55.01,FADD
GRM8,37.51,GRM8
NRG1,37.94000000000001,NRG1
MTHFR,54.53,MTHFR
MED22,56.94,MED22
GPKOW,50.86,GPKOW
EFS,54.29,EFS
TTLL10,54.75,TTLL10
THUMPD3,40.02,THUMPD3
COPB1,38.27,COPB1
WIF1,38.19,WIF1
CPN1,43.88,CPN1
CT476828.12,73.35,CT476828.12
DBNDD2,55.82,DBNDD2
RFC1,39.26,RFC1
MLKL,45.73,MLKL
MMADHC,35.1,MMADHC
CD3E,44.08,CD3E
RSBN1,37.22,RSBN1
WFDC12,53.22,WFDC12
GLIS1,50.72,GLIS1
SLC24A4,47.94,SLC24A4
GAS2L2,56.54999999999999,GAS2L2
ECD,39.47,ECD
PLCB3,60.32,PLCB3
SHCBP1,39.22,SHCBP1
OST4,54.69,OST4
BRK1,44.91,BRK1
ENTPD4,44.43,ENTPD4
CLDND1,38.91,CLDND1
HIVEP3,46.45000000000001,HIVEP3
CDK13,38.73,CDK13
RDH10,41.69,RDH10
KCTD3,36.09,KCTD3
ZNF20,43.97,ZNF20
COASY,57.55999999999999,COASY
LETM1,53.78,LETM1
SETD1A,55.65,SETD1A
CCNB1,43.43,CCNB1
RILPL1,50.55,RILPL1
TWF2,59.69,TWF2
TARBP2,57.56,TARBP2
DMPK,59.04,DMPK
GCA,36.25,GCA
ANGEL2,38.71,ANGEL2
AMT,54.51,AMT
C11orf21,60.61,C11orf21
TRIP4,42.11,TRIP4
DTX2,56.27210526315789,DTX2
ZFAND6,38.17,ZFAND6
ZNF207,38.47000000000001,ZNF207
XPO1,40.89999999999999,XPO1
MTRNR2L10,38.43,MTRNR2L10
LRRC61,53.95000000000001,LRRC61
PVALB,51.49,PVALB
CCL3L1,52.7,CCL3L1
WDR45,49.75,WDR45
QSOX1,51.85,QSOX1
ESPL1,51.69,ESPL1
IPO11,38.3,IPO11
APEH,58.07000000000001,APEH
ZNF331,44.49,ZNF331
DIAPH1,41.24,DIAPH1
RGS1,33.81,RGS1
SRD5A3,44.61,SRD5A3
NRGN,53.05,NRGN
ZNF232,50.38,ZNF232
HOOK2,53.63999999999999,HOOK2
GORAB,36.49,GORAB
RELT,59.72,RELT
MMS19,44.91,MMS19
CACNA1S,51.58,CACNA1S
ZNF133,40.409999999999975,ZNF133
SLITRK2,44.16,SLITRK2
OTUD1,49.91,OTUD1
EEF1AKMT2,40.88,EEF1AKMT2
GALNTL6,36.53,GALNTL6
ARHGAP12,36.94,ARHGAP12
GLA,43.68,GLA
ZCCHC3,55.16,ZCCHC3
AC270273.1,37.71,AC270273.1
OR52N2,48.12,OR52N2
PPP2R2D,47.94,PPP2R2D
GDF15,51.93,GDF15
CD93,51.46,CD93
SLC26A5,40.33,SLC26A5
CAV3,43.72,CAV3
H2AFX,66.42,H2AFX
MYBBP1A,59.89,MYBBP1A
ADCY2,40.92,ADCY2
ZPR1,44.5,ZPR1
LGALSL,44.79999999999999,LGALSL
ZSCAN1,55.60999999999999,ZSCAN1
PCDH17,33.32,PCDH17
MRPL22,38.82,MRPL22
ATRX,37.72000000000001,ATRX
TMEM143,51.71,TMEM143
BEGAIN,60.97,BEGAIN
ERMAP,43.14000000000001,ERMAP
SPC25,39.444,SPC25
TMEM200B,64.51,TMEM200B
KPNA6,44.21,KPNA6
KLF12,37.64,KLF12
GFRA3,47.44,GFRA3
OR1Q1,49.21,OR1Q1
TPM3,45.13999999999999,TPM3
ARHGEF15,55.26000000000001,ARHGEF15
OR6A2,37.88,OR6A2
AC087498.2,41.7,AC087498.2
SPEF1,57.54,SPEF1
CCDC138,37.69,CCDC138
HMCN1,35.99,HMCN1
KIF16B,40.7,KIF16B
ANKRD29,44.28,ANKRD29
DCK,38.98,DCK
NIM1K,42.72,NIM1K
CEMIP2,40.46,CEMIP2
C12orf66,39.91,C12orf66
AC003002.2,45.0,AC003002.2
EMCN,36.15,EMCN
KIAA0100,46.75,KIAA0100
LRRC49,38.17000000000001,LRRC49
NUDT11,39.02,NUDT11
FEZ2,40.54,FEZ2
LRRC4,56.07,LRRC4
OR1L3,42.31,OR1L3
PLOD3,58.5,PLOD3
ZNF480,42.41,ZNF480
LRRC20,49.41,LRRC20
DPP6,43.87,DPP6
FCHSD1,52.82,FCHSD1
PRLR,40.83,PRLR
PDZD3,57.77,PDZD3
PNMT,61.48,PNMT
RPIA,41.23,RPIA
AP002495.1,42.82,AP002495.1
TIMM23,40.13,TIMM23
TRIM6,44.09,TRIM6
PRR18,59.48,PRR18
DUSP8,64.26333333333334,DUSP8
TMIGD2,53.96,TMIGD2
RPA2,44.15,RPA2
ERGIC3,50.94,ERGIC3
TOP3A,48.23,TOP3A
GPR183,38.07,GPR183
GPR37,38.4,GPR37
MMP11,57.83,MMP11
XPO4,38.5,XPO4
DCDC2,38.69,DCDC2
RBM19,50.43,RBM19
CCDC73,37.36,CCDC73
PAQR7,51.15,PAQR7
CNKSR3,42.74,CNKSR3
LCOR,39.57999999999999,LCOR
SLC13A5,51.78,SLC13A5
PLEKHB2,42.42,PLEKHB2
TRHDE,36.14,TRHDE
FAM126A,37.33,FAM126A
ZNF561,44.45,ZNF561
ZBTB44,39.21999999999999,ZBTB44
GRIK5,51.51,GRIK5
ZNF567,40.54,ZNF567
IRS2,46.75,IRS2
PDK2,56.67,PDK2
CLUH,62.54,CLUH
AC004832.3,50.42,AC004832.3
TAGLN,57.93,TAGLN
ETV6,43.19,ETV6
TSPEAR,50.12,TSPEAR
RGS22,37.84,RGS22
GSG1L2,46.47,GSG1L2
CMC4,40.03,CMC4
ZC3H10,48.59,ZC3H10
SNTA1,50.41,SNTA1
BRDT,39.43,BRDT
TMEM18,51.4,TMEM18
FAM177A1,41.38999999999999,FAM177A1
RBM39,40.28,RBM39
DNTTIP2,39.28,DNTTIP2
WIPF1,41.82,WIPF1
RBMX,43.01,RBMX
CTSZ,56.78,CTSZ
MRPL19,36.97,MRPL19
IFI27L1,45.15999999999999,IFI27L1
TCL1B,49.81,TCL1B
ALDH1A3,48.81,ALDH1A3
CNPY2,48.93,CNPY2
ZNF789,47.74,ZNF789
FIP1L1,35.71,FIP1L1
R3HDM1,37.98,R3HDM1
TMEM114,46.9,TMEM114
ARMC7,51.99,ARMC7
NUPR1,50.75,NUPR1
AP003108.2,48.75,AP003108.2
JUND,69.67,JUND
MFSD11,44.15999999999999,MFSD11
USP17L8,51.16,USP17L8
