Genes,Domains,Norm_Symbol
ALDH1B1,['PF00171'],ALDH1B1
TLR7,"['PF13306', 'PF13855', 'PF01582']",TLR7
AC171558.6,['PF13853'],AC171558.6
NKIRAS1,['PF00071'],NKIRAS1
IGFBPL1,"['PF07679', 'PF07648', 'PF00219']",IGFBPL1
TLR8,"['PF13855', 'PF01582']",TLR8
GTPBP6,"['PF16360', 'PF13167', 'PF01926']",GTPBP6
MAN2A2,"['PF09261', 'PF07748', 'PF01074']",MAN2A2
TBC1D28,['PF00566'],TBC1D28
EEF1AKMT1,['PF10237'],EEF1AKMT1
DGLUCY,"['PF07286', 'PF14336']",DGLUCY
KIAA1958,['PF12012'],KIAA1958
FOXO3B,['PF00250'],FOXO3B
HLA-DOB,"['PF00969', 'PF07654']",HLA-DOB
DHX16,"['PF07717', 'PF00270', 'PF04408', 'PF00271']",DHX16
TUBE1,"['PF03953', 'PF00091']",TUBE1
HSD17B3,['PF00106'],HSD17B3
IL17D,['PF06083'],IL17D
DERL3,['PF04511'],DERL3
FBXO16,['PF12937'],FBXO16
ABHD16A,['PF00561'],ABHD16A
IMPAD1,['PF00459'],IMPAD1
CNR2,['PF00001'],CNR2
CCT8L2,['PF00118'],CCT8L2
PNRC2,['PF15365'],PNRC2
NIPA2,['PF05653'],NIPA2
NUDT10,['PF00293'],NUDT10
CDY2B,"['PF00378', 'PF00385']",CDY2B
PRUNE2,"['PF13716', 'PF02833', 'PF12496']",PRUNE2
HSDL2,"['PF00106', 'PF02036']",HSDL2
ABCC2,"['PF00005', 'PF00664']",ABCC2
ABCA12,"['PF12698', 'PF00005']",ABCA12
ABHD12,"['PF12146', 'PF00561']",ABHD12
STARD10,['PF01852'],STARD10
ZNF138,"['PF00096', 'PF01352']",ZNF138
SIN3A,"['PF08295', 'PF02671', 'PF16879']",SIN3A
SYN2,"['PF02750', 'PF10581', 'PF02078']",SYN2
PLCXD1,['PF00388'],PLCXD1
ALOX5,"['PF01477', 'PF00305']",ALOX5
CLVS2,"['PF00650', 'PF03765']",CLVS2
ZNF395,['PF15997'],ZNF395
ROS1,"['PF00041', 'PF07714']",ROS1
FER1L5,"['PF00168', 'PF16165', 'PF08165', 'PF08150']",FER1L5
CCN6,"['PF00007', 'PF00219']",CCN6
PRSS55,['PF00089'],PRSS55
OR8K1,['PF13853'],OR8K1
C6orf136,['PF10184'],C6orf136
DAND5,['PF03045'],DAND5
ZNF107,"['PF00096', 'PF01352']",ZNF107
TNFSF9,['PF00229'],TNFSF9
PRSS51,['PF00089'],PRSS51
NUDT11,['PF00293'],NUDT11
PIAS2,"['PF14324', 'PF02891']",PIAS2
TIMP4,['PF00965'],TIMP4
FAHD2A,['PF01557'],FAHD2A
TFF2,['PF00088'],TFF2
DEFA4,"['PF00879', 'PF00323']",DEFA4
SLC7A11,['PF13520'],SLC7A11
GCNT1,['PF02485'],GCNT1
NLRP7,"['PF13516', 'PF17779', 'PF17776', 'PF05729', 'PF02758']",NLRP7
C20orf96,['PF15397'],C20orf96
ENAM,['PF15362'],ENAM
MICA,"['PF00129', 'PF07654']",MICA
COMMD7,['PF07258'],COMMD7
PNN,"['PF04697', 'PF04696']",PNN
ELOA3D,"['PF08711', 'PF06881']",ELOA3D
NEIL1,"['PF01149', 'PF09292']",NEIL1
ZNF181,"['PF00096', 'PF01352', 'PF13912']",ZNF181
FO393400.1,['PF07258'],FO393400.1
FABP5,['PF00061'],FABP5
ELOA2,"['PF08711', 'PF06881']",ELOA2
C20orf203,['PF17714'],C20orf203
FAM229B,['PF14982'],FAM229B
ELOA3B,"['PF08711', 'PF06881']",ELOA3B
MUC17,['PF01390'],MUC17
ELOA3,"['PF08711', 'PF06881']",ELOA3
JCHAIN,['PF15097'],JCHAIN
TFF1,['PF00088'],TFF1
DNAJC28,"['PF09350', 'PF00226']",DNAJC28
TRAK1,"['PF12448', 'PF04849']",TRAK1
DSG1,"['PF00028', 'PF01049']",DSG1
TRIM56,"['PF13445', 'PF00643']",TRIM56
OR8J1,['PF13853'],OR8J1
MUC4,"['PF06119', 'PF00094']",MUC4
MAT2B,['PF04321'],MAT2B
KATNAL2,"['PF17862', 'PF08513', 'PF00004']",KATNAL2
OR8U8,['PF13853'],OR8U8
ZCCHC3,['PF00098'],ZCCHC3
OR8U9,['PF13853'],OR8U9
CYFIP1,"['PF05994', 'PF07159']",CYFIP1
SESTD1,['PF13716'],SESTD1
DEFA1,"['PF00879', 'PF00323']",DEFA1
SLC5A12,['PF00474'],SLC5A12
TNFAIP2,['PF06046'],TNFAIP2
MTX3,"['PF17171', 'PF10568']",MTX3
SLU7,['PF11708'],SLU7
TRAF4,"['PF02176', 'PF00097']",TRAF4
CD70,['PF00229'],CD70
FIBIN,['PF15819'],FIBIN
PIGT,['PF04113'],PIGT
OR4F21,['PF13853'],OR4F21
INSR,"['PF00757', 'PF07714', 'PF17870', 'PF01030']",INSR
LSM2,['PF01423'],LSM2
MMP28,"['PF00045', 'PF00413', 'PF01471']",MMP28
ANKRD55,"['PF13857', 'PF12796']",ANKRD55
PIGG,['PF01663'],PIGG
DSG4,"['PF00028', 'PF01049']",DSG4
PPP1R9A,"['PF17817', 'PF00595', 'PF07647']",PPP1R9A
CYP2W1,['PF00067'],CYP2W1
SEPSECS,['PF05889'],SEPSECS
GALNT14,"['PF00535', 'PF00652']",GALNT14
NRSN2,['PF14927'],NRSN2
C2orf66,['PF15846'],C2orf66
EZR,"['PF00769', 'PF09379', 'PF09380', 'PF00373']",EZR
RHBDD2,['PF01694'],RHBDD2
TMEM97,['PF10914'],TMEM97
STEAP3,"['PF01794', 'PF03807']",STEAP3
BBOX1,"['PF02668', 'PF06155']",BBOX1
PMP2,['PF00061'],PMP2
ALOX12,"['PF01477', 'PF00305']",ALOX12
SOX12,['PF00505'],SOX12
RNLS,"['PF13450', 'PF01593']",RNLS
FAM24B,['PF15193'],FAM24B
PDPN,['PF05808'],PDPN
CAND2,['PF08623'],CAND2
DEFA1B,"['PF00879', 'PF00323']",DEFA1B
CU639417.1,['PF00125'],CU639417.1
FABP12,['PF00061'],FABP12
PCYT1B,['PF01467'],PCYT1B
BAZ1A,"['PF00628', 'PF00439', 'PF10537', 'PF02791', 'PF15612', 'PF15613']",BAZ1A
FABP9,['PF00061'],FABP9
CUZD1,"['PF00100', 'PF00431']",CUZD1
FAM168B,['PF14944'],FAM168B
SYK,"['PF07714', 'PF00017']",SYK
WHAMM,"['PF15920', 'PF15871']",WHAMM
TMEM211,['PF10242'],TMEM211
SLC35F2,['PF06027'],SLC35F2
FABP4,['PF00061'],FABP4
PNLIPRP2,"['PF00151', 'PF01477']",PNLIPRP2
TMSB4X,['PF01290'],TMSB4X
TNS1,"['PF08416', 'PF10409', 'PF00017']",TNS1
C8orf74,['PF14769'],C8orf74
IFT20,['PF14931'],IFT20
PLXNA4,"['PF01437', 'PF18020', 'PF01833', 'PF01403', 'PF17960', 'PF08337']",PLXNA4
PSKH2,['PF00069'],PSKH2
RPL32,['PF01655'],RPL32
CCDC87,['PF03999'],CCDC87
RP1L1,['PF03607'],RP1L1
ATP6V0D2,['PF01992'],ATP6V0D2
TSHR,"['PF13306', 'PF00001']",TSHR
MTRNR2L6,['PF15040'],MTRNR2L6
XPO4,['PF08767'],XPO4
DSP,"['PF00681', 'PF18373', 'PF17902']",DSP
DEFA3,"['PF00879', 'PF00323']",DEFA3
LIPJ,['PF04083'],LIPJ
MYO19,['PF00063'],MYO19
SHKBP1,['PF02214'],SHKBP1
AC037459.1,"['PF15552', 'PF00412', 'PF15936']",AC037459.1
SSB,"['PF00076', 'PF05383', 'PF08777']",SSB
SMC6,['PF13476'],SMC6
TNFSF14,['PF00229'],TNFSF14
ODF3,['PF07004'],ODF3
HS3ST6,['PF00685'],HS3ST6
ZNF273,"['PF00096', 'PF01352']",ZNF273
SGMS2,['PF14360'],SGMS2
KRTAP8-1,['PF11759'],KRTAP8-1
PRR3,['PF00642'],PRR3
KRTAP7-1,['PF15034'],KRTAP7-1
DEFA5,"['PF00879', 'PF00323']",DEFA5
ZNF596,"['PF00096', 'PF01352']",ZNF596
KRTAP11-1,['PF05287'],KRTAP11-1
SCGB1C1,['PF01099'],SCGB1C1
RPS6KA5,"['PF00433', 'PF00069']",RPS6KA5
KRTAP19-8,['PF11759'],KRTAP19-8
PPFIBP2,"['PF00536', 'PF07647']",PPFIBP2
MOBP,['PF02318'],MOBP
ARHGAP25,"['PF00169', 'PF00620']",ARHGAP25
CYP2U1,['PF00067'],CYP2U1
OR9G1,['PF13853'],OR9G1
CCDC34,['PF13904'],CCDC34
C8orf58,['PF15552'],C8orf58
OR9G9,['PF13853'],OR9G9
AK6,['PF13238'],AK6
ZNF117,['PF00096'],ZNF117
OR9G4,['PF13853'],OR9G4
TAF9,['PF02291'],TAF9
SLC39A8,['PF02535'],SLC39A8
ZNF599,"['PF00096', 'PF13465', 'PF01352']",ZNF599
NUP153,"['PF00641', 'PF08604', 'PF10599']",NUP153
MALT1,"['PF00656', 'PF18703', 'PF13895', 'PF13927']",MALT1
SPIDR,"['PF14950', 'PF14951']",SPIDR
TRIM16L,"['PF13765', 'PF00622']",TRIM16L
IL6ST,"['PF00041', 'PF06328', 'PF09240']",IL6ST
MRPL23,['PF00276'],MRPL23
XKR3,['PF09815'],XKR3
AGFG2,['PF01412'],AGFG2
HOXA11,"['PF00046', 'PF12045']",HOXA11
GART,"['PF02769', 'PF02843', 'PF00551', 'PF01071', 'PF02844', 'PF00586']",GART
GNL1,['PF01926'],GNL1
INAFM2,['PF15018'],INAFM2
TAP2,"['PF00005', 'PF00664']",TAP2
ZNHIT3,['PF04438'],ZNHIT3
KIAA1671,['PF15327'],KIAA1671
TMEM132E,"['PF16070', 'PF15705', 'PF15706']",TMEM132E
METTL5,['PF05175'],METTL5
MAGEA3,"['PF01454', 'PF12440']",MAGEA3
SNRNP48,['PF05253'],SNRNP48
PIGW,['PF06423'],PIGW
FLT1,"['PF17988', 'PF00047', 'PF07679', 'PF13927', 'PF07714']",FLT1
IWS1,['PF08711'],IWS1
NFATC2,"['PF00554', 'PF16179']",NFATC2
KCNS2,"['PF02214', 'PF00520']",KCNS2
UTP3,"['PF04000', 'PF09368']",UTP3
KIR3DL3,['PF00047'],KIR3DL3
KIR2DL3,['PF00047'],KIR2DL3
GAB4,['PF00169'],GAB4
CDKL4,['PF00069'],CDKL4
GOLGA8B,['PF15070'],GOLGA8B
PARD3B,"['PF12053', 'PF00595']",PARD3B
TPCN2,['PF00520'],TPCN2
UQCRC1,"['PF00675', 'PF05193']",UQCRC1
CDS2,['PF01148'],CDS2
OGDH,"['PF00676', 'PF16870', 'PF02779', 'PF16078']",OGDH
TBC1D26,['PF00566'],TBC1D26
SYT9,['PF00168'],SYT9
DOCK2,"['PF16172', 'PF06920', 'PF14429']",DOCK2
PDGFRB,"['PF07714', 'PF00047', 'PF07679', 'PF13927']",PDGFRB
OLFML1,['PF02191'],OLFML1
RPP14,['PF01900'],RPP14
GRHL2,['PF04516'],GRHL2
CASKIN1,"['PF16632', 'PF16907', 'PF07653', 'PF16600', 'PF00536', 'PF12796', 'PF13637']",CASKIN1
FAM110B,"['PF14160', 'PF14161']",FAM110B
FAAP24,"['PF17949', 'PF12826']",FAAP24
CD226,['PF07686'],CD226
SLA2,"['PF00018', 'PF00017']",SLA2
PI4K2B,['PF00454'],PI4K2B
B3GNT3,['PF01762'],B3GNT3
HTD2,['PF01575'],HTD2
UNC93B1,['PF05978'],UNC93B1
DOK6,['PF02174'],DOK6
CLNK,['PF00017'],CLNK
TGIF2,['PF05920'],TGIF2
RUFY3,['PF02759'],RUFY3
BCL7B,['PF04714'],BCL7B
STK3,"['PF11629', 'PF00069']",STK3
EFNA5,['PF00812'],EFNA5
DSG3,"['PF00028', 'PF01049']",DSG3
INSYN2B,['PF15265'],INSYN2B
SIK1B,['PF00069'],SIK1B
FAM160A2,['PF10257'],FAM160A2
NPM1,"['PF03066', 'PF16276']",NPM1
CATSPERD,['PF15020'],CATSPERD
SCGB1C2,['PF01099'],SCGB1C2
TRAF7,"['PF13445', 'PF00400']",TRAF7
PINX1,"['PF00505', 'PF01585', 'PF12067']",PINX1
ABHD3,['PF00561'],ABHD3
PBX2,"['PF00046', 'PF03792']",PBX2
KLHDC10,"['PF13964', 'PF13418', 'PF01344']",KLHDC10
DOC2B,['PF00168'],DOC2B
RAB5IF,['PF07019'],RAB5IF
UBR1,"['PF02617', 'PF02207']",UBR1
DAZ1,['PF00076'],DAZ1
SLC7A13,['PF13520'],SLC7A13
AIFM1,"['PF14962', 'PF07992', 'PF14721']",AIFM1
NDUFAF5,['PF08241'],NDUFAF5
PDLIM2,"['PF00412', 'PF00595', 'PF15936']",PDLIM2
EML3,"['PF03451', 'PF00400']",EML3
PRR22,['PF15776'],PRR22
BAIAP3,"['PF00168', 'PF10540']",BAIAP3
DNAJC2,"['PF16717', 'PF00226', 'PF00249']",DNAJC2
DNAAF5,"['PF13646', 'PF02985']",DNAAF5
SOX7,"['PF00505', 'PF12067']",SOX7
CHCHD3,['PF05300'],CHCHD3
TIAM1,"['PF00169', 'PF00595', 'PF02196', 'PF18385', 'PF00621']",TIAM1
TGIF2-RAB5IF,"['PF05920', 'PF07019']",TGIF2-RAB5IF
OSGEPL1,['PF00814'],OSGEPL1
CENPVL3,['PF04828'],CENPVL3
MDC1,"['PF16770', 'PF00498']",MDC1
ZNF286A,"['PF00096', 'PF13465', 'PF01352']",ZNF286A
UBE2W,['PF00179'],UBE2W
KIR3DL1,['PF00047'],KIR3DL1
ROM1,['PF00335'],ROM1
DUS3L,"['PF01207', 'PF18044']",DUS3L
TSR3,"['PF04034', 'PF04068']",TSR3
BMP6,"['PF00688', 'PF00019']",BMP6
ARHGAP21,"['PF17820', 'PF00620', 'PF15410']",ARHGAP21
TCF24,['PF00010'],TCF24
BLOC1S5,['PF14942'],BLOC1S5
ANKAR,['PF00514'],ANKAR
ZCCHC4,"['PF10237', 'PF06839']",ZCCHC4
KIR2DL1,['PF00047'],KIR2DL1
FAM24A,['PF15193'],FAM24A
THBS4,"['PF07645', 'PF11598', 'PF05735', 'PF02412']",THBS4
LRCH4,"['PF13855', 'PF00307']",LRCH4
ANKRD18A,"['PF14915', 'PF13857', 'PF12001', 'PF12796']",ANKRD18A
ART5,['PF01129'],ART5
MED23,['PF11573'],MED23
PFDN1,['PF01920'],PFDN1
TPTE,"['PF10409', 'PF00782']",TPTE
IMPA2,['PF00459'],IMPA2
TXNDC5,['PF00085'],TXNDC5
USP48,['PF00443'],USP48
ART1,['PF01129'],ART1
PTBP1,"['PF00076', 'PF13893', 'PF11835']",PTBP1
DENND5A,"['PF03455', 'PF03456', 'PF02759', 'PF02141', 'PF01477']",DENND5A
POMP,['PF05348'],POMP
FCHO2,"['PF10291', 'PF00611']",FCHO2
PRKAR1B,"['PF02197', 'PF00027']",PRKAR1B
CAMK2G,"['PF00069', 'PF08332']",CAMK2G
KIR2DL4,['PF00047'],KIR2DL4
CYSTM1,['PF12734'],CYSTM1
CREBBP,"['PF00439', 'PF08214', 'PF00569', 'PF06001', 'PF02172', 'PF09030', 'PF02135']",CREBBP
SGPP2,['PF01569'],SGPP2
SLC46A3,['PF07690'],SLC46A3
CENPVL2,['PF04828'],CENPVL2
EEF1E1,['PF00043'],EEF1E1
CENPVL1,['PF04828'],CENPVL1
MOG,['PF07686'],MOG
COL11A2,"['PF01391', 'PF02210', 'PF01410']",COL11A2
SUGT1,"['PF04969', 'PF05002']",SUGT1
LGR4,"['PF13855', 'PF00001', 'PF01462']",LGR4
GSPT2,"['PF03144', 'PF03143', 'PF00009', 'PF07145']",GSPT2
SAP25,['PF15476'],SAP25
SHANK2,"['PF17820', 'PF07653', 'PF00536', 'PF16511', 'PF12796']",SHANK2
HMGN1,['PF01101'],HMGN1
PPP2R3B,"['PF17958', 'PF13499']",PPP2R3B
PROKR2,['PF00001'],PROKR2
BCL2A1,['PF00452'],BCL2A1
MAGEA2B,"['PF01454', 'PF12440']",MAGEA2B
ZNF367,"['PF00096', 'PF13912']",ZNF367
LATS2,"['PF00433', 'PF00069']",LATS2
C9,"['PF00090', 'PF01823', 'PF00057']",C9
ACER2,['PF05875'],ACER2
KIAA0586,['PF15324'],KIAA0586
USP17L1,['PF00443'],USP17L1
TRIM43B,"['PF15227', 'PF00622']",TRIM43B
TUBB,"['PF03953', 'PF00091']",TUBB
RAB39A,['PF00071'],RAB39A
USP17L4,"['PF00443', 'PF04774']",USP17L4
IL17F,['PF06083'],IL17F
SUSD3,['PF00084'],SUSD3
ERGIC3,"['PF13850', 'PF07970']",ERGIC3
FBXO24,"['PF12937', 'PF00415']",FBXO24
ICE2,['PF10505'],ICE2
UBTD1,"['PF16455', 'PF00240']",UBTD1
GOLGA6L10,['PF15070'],GOLGA6L10
RAD17,['PF03215'],RAD17
VSTM2A,['PF07686'],VSTM2A
ZNF461,"['PF00096', 'PF01352']",ZNF461
ARHGEF12,"['PF17820', 'PF09128', 'PF00621', 'PF17838']",ARHGEF12
CHSY3,['PF05679'],CHSY3
PTCHD3,['PF02460'],PTCHD3
MINAR2,['PF06789'],MINAR2
ARG1,['PF00491'],ARG1
GOLGA6L9,['PF15070'],GOLGA6L9
ENO4,['PF00113'],ENO4
SRSF10,['PF00076'],SRSF10
PREB,['PF00400'],PREB
ADAMTS19,"['PF17771', 'PF01421', 'PF05986', 'PF00090', 'PF01562']",ADAMTS19
PDE10A,"['PF01590', 'PF00233']",PDE10A
NOTCH4,"['PF07645', 'PF06816', 'PF00008', 'PF00066', 'PF12796', 'PF00023', 'PF12661', 'PF07684']",NOTCH4
CUL5,"['PF00888', 'PF10557']",CUL5
SHOX,"['PF00046', 'PF03826']",SHOX
PCOLCE,"['PF01759', 'PF00431']",PCOLCE
MGA,"['PF00010', 'PF00907', 'PF16059']",MGA
GPSM3,['PF02188'],GPSM3
WWP1,"['PF00168', 'PF00632', 'PF00397']",WWP1
GMEB1,['PF01342'],GMEB1
RHEB,['PF00071'],RHEB
GATA5,"['PF00320', 'PF05349']",GATA5
SFTA2,['PF15210'],SFTA2
AMER1,['PF09422'],AMER1
ZNF567,"['PF00096', 'PF01352']",ZNF567
ASB12,"['PF00023', 'PF07525', 'PF12796']",ASB12
ABHD1,"['PF12146', 'PF00561']",ABHD1
TRIB3,['PF00069'],TRIB3
HDC,['PF00282'],HDC
CRYBB3,['PF00030'],CRYBB3
MUC21,"['PF05647', 'PF14654']",MUC21
ACAT1,"['PF02803', 'PF00108']",ACAT1
PTS,['PF01242'],PTS
PHYH,['PF05721'],PHYH
EMC6,['PF07019'],EMC6
ZNF850,"['PF00096', 'PF01352']",ZNF850
AC008878.3,"['PF00621', 'PF17838']",AC008878.3
TAX1BP3,['PF00595'],TAX1BP3
GCAT,['PF00155'],GCAT
CRYBB2,['PF00030'],CRYBB2
TMEM171,['PF15471'],TMEM171
RBFOX2,"['PF00076', 'PF12414']",RBFOX2
UNC13B,"['PF00168', 'PF06292', 'PF00130', 'PF10540']",UNC13B
NINJ1,['PF04923'],NINJ1
ZNF572,['PF00096'],ZNF572
CGNL1,['PF01576'],CGNL1
TIMM9,['PF02953'],TIMM9
FTCD,"['PF07837', 'PF04961', 'PF02971']",FTCD
CHMP5,['PF03357'],CHMP5
PRDM2,"['PF00096', 'PF00856', 'PF13912']",PRDM2
PDHA1,['PF00676'],PDHA1
ARHGEF18,"['PF00621', 'PF17838']",ARHGEF18
BMPR1B,"['PF07714', 'PF01064', 'PF08515']",BMPR1B
TOMM20L,['PF02064'],TOMM20L
GPR108,['PF06814'],GPR108
TUSC3,['PF04756'],TUSC3
OSBP2,"['PF00169', 'PF01237']",OSBP2
CD8A,['PF07686'],CD8A
EVC2,['PF12297'],EVC2
ALDH3B1,['PF00171'],ALDH3B1
RORA,"['PF00104', 'PF00105']",RORA
CNN2,"['PF00402', 'PF00307']",CNN2
SAV1,['PF00397'],SAV1
MIB1,"['PF13920', 'PF00569', 'PF06701', 'PF12796', 'PF13637', 'PF18346']",MIB1
CTNS,['PF04193'],CTNS
DRD1,['PF00001'],DRD1
INSL3,['PF00049'],INSL3
SKIV2L,"['PF17911', 'PF08148', 'PF13234', 'PF00271', 'PF00270']",SKIV2L
CLEC16A,['PF09758'],CLEC16A
CCK,['PF00918'],CCK
LILRA1,['PF13895'],LILRA1
PLEKHA7,['PF00169'],PLEKHA7
PRR5L,['PF08539'],PRR5L
FOXB2,['PF00250'],FOXB2
SRP54,"['PF00448', 'PF02881', 'PF02978']",SRP54
CDC14B,"['PF14671', 'PF00782']",CDC14B
N4BP2,"['PF08590', 'PF13671', 'PF01713']",N4BP2
DNMBP,"['PF03114', 'PF00018', 'PF07653', 'PF14604', 'PF00621']",DNMBP
HABP4,"['PF16174', 'PF04774']",HABP4
STAU2,"['PF00035', 'PF16482']",STAU2
LOXL3,"['PF01186', 'PF00530']",LOXL3
ATL1,['PF02263'],ATL1
MAP3K15,"['PF00069', 'PF13281']",MAP3K15
FARSB,"['PF03484', 'PF03483', 'PF18262', 'PF17759']",FARSB
GATA6,"['PF00320', 'PF05349']",GATA6
MAP7D3,['PF05672'],MAP7D3
LY6G6F,['PF07686'],LY6G6F
HSPA1L,['PF00012'],HSPA1L
FGF10,['PF00167'],FGF10
LY6G6E,['PF01064'],LY6G6E
NUP98,"['PF12110', 'PF04096']",NUP98
TUBGCP3,"['PF17681', 'PF04130']",TUBGCP3
INIP,['PF15925'],INIP
NFIX,"['PF03165', 'PF00859', 'PF10524']",NFIX
LY6G6D,['PF07686'],LY6G6D
C6orf15,['PF15809'],C6orf15
MARCH8,['PF12906'],MARCH8
MYOM3,"['PF00041', 'PF00047', 'PF07679']",MYOM3
MOGAT1,['PF03982'],MOGAT1
PGAP1,['PF07819'],PGAP1
SOD1,['PF00080'],SOD1
HSPA1A,['PF00012'],HSPA1A
HTRA2,"['PF17820', 'PF13365']",HTRA2
PTTG1,['PF04856'],PTTG1
KANK3,"['PF13637', 'PF12075', 'PF12796']",KANK3
HSPA1B,['PF00012'],HSPA1B
CCNDBP1,['PF13324'],CCNDBP1
YTHDF2,['PF04146'],YTHDF2
DAB2,['PF00640'],DAB2
CD320,['PF00057'],CD320
C14orf180,['PF15555'],C14orf180
C3,"['PF01759', 'PF01835', 'PF07678', 'PF07677', 'PF17791', 'PF07703', 'PF17790', 'PF01821', 'PF00207', 'PF17789']",C3
CAPN14,"['PF01067', 'PF00648']",CAPN14
C7orf50,['PF10180'],C7orf50
FRAT1,['PF05350'],FRAT1
COPS5,"['PF01398', 'PF18323']",COPS5
PSMB8,['PF00227'],PSMB8
CLP1,"['PF16573', 'PF06807', 'PF16575']",CLP1
FRAT2,['PF05350'],FRAT2
GPER1,['PF00001'],GPER1
MAP4K5,"['PF00780', 'PF00069']",MAP4K5
SPATC1L,"['PF15059', 'PF15058']",SPATC1L
FZD3,"['PF01392', 'PF01534']",FZD3
NELFE,['PF00076'],NELFE
MEFV,"['PF13765', 'PF00622', 'PF02758', 'PF00643']",MEFV
PSORS1C1,['PF15357'],PSORS1C1
NDUFA7,['PF07347'],NDUFA7
ZKSCAN8,"['PF00096', 'PF01352', 'PF02023']",ZKSCAN8
GPR146,['PF00001'],GPR146
PSORS1C2,['PF15356'],PSORS1C2
YPEL4,['PF03226'],YPEL4
SLC26A5,"['PF01740', 'PF00916']",SLC26A5
RPS28,['PF01200'],RPS28
PSMB9,['PF00227'],PSMB9
AUP1,['PF02845'],AUP1
PPP1R42,"['PF14580', 'PF12799']",PPP1R42
SQLE,"['PF13450', 'PF08491', 'PF01494']",SQLE
ANKRD2,"['PF00023', 'PF12796']",ANKRD2
HELZ2,"['PF00773', 'PF13087', 'PF13086']",HELZ2
DIAPH2,"['PF06367', 'PF02181', 'PF06345', 'PF06371']",DIAPH2
C10orf88,['PF14958'],C10orf88
GALR3,['PF00001'],GALR3
CDIP1,['PF10601'],CDIP1
DOK1,"['PF02174', 'PF00169']",DOK1
TMEM209,['PF09786'],TMEM209
ZNF705G,"['PF00096', 'PF01352']",ZNF705G
RAB33A,['PF00071'],RAB33A
PFKL,['PF00365'],PFKL
TRDN,['PF05279'],TRDN
DEFB4B,['PF00711'],DEFB4B
PTPRA,['PF00102'],PTPRA
COPS3,['PF01399'],COPS3
FBXW10,['PF00400'],FBXW10
SSMEM1,['PF15468'],SSMEM1
EPB42,"['PF00868', 'PF01841', 'PF00927']",EPB42
P2RX5,['PF00864'],P2RX5
NUS1,['PF01255'],NUS1
LSS,"['PF13249', 'PF13243']",LSS
ACER3,['PF05875'],ACER3
GOLGA8K,['PF15070'],GOLGA8K
PSTK,['PF08433'],PSTK
CPN1,"['PF13620', 'PF00246']",CPN1
TAP1,"['PF00005', 'PF00664']",TAP1
ARID3B,['PF01388'],ARID3B
CTSB,"['PF08127', 'PF00112']",CTSB
TMEM174,['PF15029'],TMEM174
RPA4,['PF08784'],RPA4
SERINC5,['PF03348'],SERINC5
NDUFS8,"['PF12838', 'PF00037']",NDUFS8
MSRB1,['PF01641'],MSRB1
VWCE,"['PF07645', 'PF00093']",VWCE
ARFGEF1,"['PF09324', 'PF01369', 'PF12783', 'PF16213']",ARFGEF1
TMEM62,['PF00149'],TMEM62
TRPC4,"['PF00520', 'PF08344']",TRPC4
SEC61G,['PF00584'],SEC61G
RAD52,['PF04098'],RAD52
PSMC2,"['PF17862', 'PF00004']",PSMC2
IL17RA,"['PF16556', 'PF08357', 'PF16578']",IL17RA
MTMR8,['PF06602'],MTMR8
PRSS1,['PF00089'],PRSS1
MZT2B,['PF12926'],MZT2B
DNAJA4,"['PF01556', 'PF00684', 'PF00226']",DNAJA4
TMEM121B,['PF14997'],TMEM121B
SLC25A42,['PF00153'],SLC25A42
LYZL4,['PF00062'],LYZL4
PGAP2,['PF10277'],PGAP2
RAD51D,['PF08423'],RAD51D
IL4,['PF00727'],IL4
PKD1,"['PF00801', 'PF01822', 'PF13855', 'PF08016', 'PF02010', 'PF00059', 'PF01477']",PKD1
FOXD1,['PF00250'],FOXD1
SLC7A1,"['PF13520', 'PF13906']",SLC7A1
CNOT4,"['PF00076', 'PF14570']",CNOT4
WDR61,['PF00400'],WDR61
PCGF6,['PF13923'],PCGF6
PDE1C,"['PF00233', 'PF08499']",PDE1C
BTF3,['PF01849'],BTF3
SEPHS1,"['PF00586', 'PF02769']",SEPHS1
PMPCB,"['PF00675', 'PF05193']",PMPCB
LGALS9B,['PF00337'],LGALS9B
DSG2,['PF00028'],DSG2
CD99,['PF12301'],CD99
LDLRAD2,['PF00057'],LDLRAD2
VPS16,"['PF04841', 'PF04840']",VPS16
ZNF280C,['PF13836'],ZNF280C
MRPS30,['PF07147'],MRPS30
XKR6,['PF09815'],XKR6
MLH3,"['PF02518', 'PF01119', 'PF08676', 'PF13589']",MLH3
PRSS2,['PF00089'],PRSS2
TBL2,['PF00400'],TBL2
POMC,"['PF08035', 'PF00976', 'PF08384']",POMC
PSMD13,['PF01399'],PSMD13
JAK3,"['PF07714', 'PF18377', 'PF18379', 'PF17887']",JAK3
CHRNA10,"['PF02931', 'PF02932']",CHRNA10
GMEB2,['PF01342'],GMEB2
ANKRD30A,"['PF12796', 'PF00023', 'PF14915']",ANKRD30A
MAP4,['PF00418'],MAP4
GJD2,['PF00029'],GJD2
CLPB,"['PF10431', 'PF07724', 'PF13857', 'PF12796', 'PF00023']",CLPB
EED,['PF00400'],EED
CDK15,['PF00069'],CDK15
HSPG2,"['PF00053', 'PF00008', 'PF00054', 'PF13927', 'PF07679', 'PF00057', 'PF13895', 'PF00052']",HSPG2
OPRD1,['PF00001'],OPRD1
UBXN2B,"['PF08059', 'PF00789']",UBXN2B
