Genes,Protein_Mass (Daltons),Norm_Symbol
MAP2K6,37492,MAP2K6
ASH1L,332790,ASH1L
TAS2R46,35523,TAS2R46
ZMYM1,128717,ZMYM1
UFL1,89595,UFL1
C1RL,53498,C1RL
IDH3G,42794,IDH3G
RANBP17,124375,RANBP17
SPOCK2,46779,SPOCK2
ERF,58703,ERF
KRTAP1-1,18235,KRTAP1-1
WDFY3,395258,WDFY3
IFT80,88035,IFT80
JMJD6,46462,JMJD6
TOR2A,26262,TOR2A
FARP2,119888,FARP2
ZNF483,85098,ZNF483
KLK3,28741,KLK3
HCRTR2,50694,HCRTR2
IPO5,123630,IPO5
PHF24,45192,PHF24
MET,155541,MET
OR10Q1,35602,OR10Q1
PHOX2B,31621,PHOX2B
TRIM14,49773,TRIM14
FRMPD2,144282,FRMPD2
ARHGAP28,82060,ARHGAP28
SCARF2,92384,SCARF2
ADM5,16532,ADM5
LONP2,94617,LONP2
GSX1,27883,GSX1
SERBP1,44965,SERBP1
PPEF1,75792,PPEF1
TPSB2,30515,TPSB2
FOXG1,52352,FOXG1
ELK1,44888,ELK1
ZBTB34,55534,ZBTB34
SARS2,58283,SARS2
SKA1,29484,SKA1
TBC1D3E,62131,TBC1D3E
CDO1,22972,CDO1
DDX5,69148,DDX5
PAGE4,11153,PAGE4
GAL3ST4,54166,GAL3ST4
UBTD2,26190,UBTD2
C6orf62,27083,C6orf62
DGKB,90595,DGKB
MOG,28193,MOG
CPOX,50152,CPOX
ZKSCAN1,63630,ZKSCAN1
GTF2A2,12457,GTF2A2
CEP85L,91808,CEP85L
MYCL,40327,MYCL
INCENP,105429,INCENP
WARS2,40147,WARS2
TOPORS,119198,TOPORS
LRRC4C,71950,LRRC4C
EVI5,92949,EVI5
XAGE3,12302,XAGE3
HTR3D,50191,HTR3D
SAMD4B,75483,SAMD4B
DSTYK,105206,DSTYK
SYCE3,10601,SYCE3
SSTR4,42003,SSTR4
PRAMEF12,54633,PRAMEF12
TNFRSF11B,46026,TNFRSF11B
COX7A2L,12615,COX7A2L
ORC4,50377,ORC4
C1orf74,29561,C1orf74
CYP11B1,57573,CYP11B1
CLCN7,88679,CLCN7
GOLGA6L9,49193,GOLGA6L9
MIEF1,8445,MIEF1
STOX1,110962,STOX1
UBR2,200538,UBR2
KLF18,112602,KLF18
ZZEF1,331075,ZZEF1
CHAD,40476,CHAD
PRR23A,28155,PRR23A
TRPM1,182178,TRPM1
EPN3,68222,EPN3
CAPN11,84423,CAPN11
NEK7,34551,NEK7
IRX3,52119,IRX3
LSM14B,42071,LSM14B
RANGAP1,63542,RANGAP1
ZDHHC19,34352,ZDHHC19
KRI1,82598,KRI1
IQCJ-SCHIP1,62248,IQCJ-SCHIP1
RAB32,24997,RAB32
GOLGA8R,71490,GOLGA8R
CLDN24,24421,CLDN24
SYP,33845,SYP
PKD2L2,73790,PKD2L2
KDELR1,24542,KDELR1
MEIG1,10795,MEIG1
DNAAF5,93521,DNAAF5
KIF2A,79955,KIF2A
ERN2,102480,ERN2
ALDH18A1,87302,ALDH18A1
EHMT1,141466,EHMT1
TSHZ3,118566,TSHZ3
NXT2,16228,NXT2
SNX20,36178,SNX20
MAP7D3,98429,MAP7D3
CABIN1,246352,CABIN1
PPFIA2,143291,PPFIA2
RASD2,30366,RASD2
SUMO1,11557,SUMO1
SLMAP,95198,SLMAP
ANXA6,75873,ANXA6
PATE2,13015,PATE2
LCE1E,11616,LCE1E
NELFCD,66247,NELFCD
MS4A6A,26943,MS4A6A
DTNA,83901,DTNA
C1QTNF3,26994,C1QTNF3
MYOD1,34501,MYOD1
FXYD6,10542,FXYD6
BICRA,158490,BICRA
GPATCH1,103345,GPATCH1
ZNF30,71417,ZNF30
BAZ1A,178702,BAZ1A
FUOM,16765,FUOM
C6orf15,34195,C6orf15
MRM1,38638,MRM1
SLC9A4,89814,SLC9A4
C16orf87,17799,C16orf87
SHCBP1,75690,SHCBP1
CBX5,22225,CBX5
FCGR2B,34044,FCGR2B
ODF2,95401,ODF2
GPATCH11,33277,GPATCH11
EFCAB7,71981,EFCAB7
EGLN1,46021,EGLN1
TRIM64B,51557,TRIM64B
HAL,72698,HAL
BAIAP2L1,56883,BAIAP2L1
RP2,39641,RP2
FAM186A,262758,FAM186A
EQTN,32840,EQTN
AIM2,38954,AIM2
HENMT1,44525,HENMT1
MEPE,58419,MEPE
PRR36,132748,PRR36
AURKAIP1,22354,AURKAIP1
CCR3,41044,CCR3
OCIAD1,27626,OCIAD1
SNAPC2,35556,SNAPC2
CETN1,19570,CETN1
ENAM,128785,ENAM
FANCL,42905,FANCL
HLA-C,40773,HLA-C
ASTN2,148243,ASTN2
HDAC9,111297,HDAC9
CCDC177,79739,CCDC177
LCE3B,9812,LCE3B
CYP27B1,56504,CYP27B1
TESMIN,55025,TESMIN
AANAT,23344,AANAT
KRTAP6-1,7279,KRTAP6-1
CDH10,88451,CDH10
TEX48,13937,TEX48
TRGV9,13414,TRGV9
SLC44A4,79254,SLC44A4
MAGEC2,41163,MAGEC2
ZNF501,31179,ZNF501
CLEC9A,27324,CLEC9A
UPK2,19438,UPK2
TRIM16,63955,TRIM16
FABP4,14719,FABP4
NBR1,107413,NBR1
CYTH3,46349,CYTH3
CRISP2,27259,CRISP2
C2CD4B,38769,C2CD4B
C20orf85,15719,C20orf85
METTL2B,43426,METTL2B
AHSG,39341,AHSG
TMEM123,21531,TMEM123
RGPD3,197487,RGPD3
TM6SF1,41636,TM6SF1
EGFLAM,111271,EGFLAM
GAR1,22348,GAR1
TPSD1,26584,TPSD1
THAP8,30082,THAP8
SRP54,55705,SRP54
IGKV2D-28,12957,IGKV2D-28
KLHDC3,43088,KLHDC3
CPNE1,59059,CPNE1
C19orf18,24151,C19orf18
MAML3,122293,MAML3
C19orf54,37779,C19orf54
TBCE,59346,TBCE
FAM49A,37313,FAM49A
TNFSF4,21050,TNFSF4
CASP6,33310,CASP6
HPD,44934,HPD
GATD1,23298,GATD1
TMEM99,27975,TMEM99
NDUFA4,9370,NDUFA4
IRGM,20142,IRGM
SLC22A11,59972,SLC22A11
CDKL3,67514,CDKL3
SLC39A7,50118,SLC39A7
AHCYL2,66721,AHCYL2
RNF224,16549,RNF224
DYNC1I2,71457,DYNC1I2
CEP85,85639,CEP85
LYPLA2,24737,LYPLA2
TDG,46053,TDG
CCDC74A,41605,CCDC74A
FAM126B,58647,FAM126B
ABCC6,164906,ABCC6
SCN2A,227975,SCN2A
HEATR5A,222004,HEATR5A
ERP29,28993,ERP29
ZNF460,63665,ZNF460
MRRF,29277,MRRF
RAD23A,39609,RAD23A
TRIM5,56338,TRIM5
SLC15A1,78806,SLC15A1
FGF8,26525,FGF8
TBXA2R,37431,TBXA2R
CNTNAP4,145274,CNTNAP4
SLC51B,14346,SLC51B
STK26,46529,STK26
SPATA31D1,175618,SPATA31D1
POLDIP3,46089,POLDIP3
FBXL18,88341,FBXL18
SLC9A6,74162,SLC9A6
SERPINA5,45675,SERPINA5
ICOS,22625,ICOS
ARMCX1,49180,ARMCX1
SPATA16,65263,SPATA16
IRS1,131591,IRS1
TSPYL2,79435,TSPYL2
DPY19L4,83756,DPY19L4
RHBDL1,48314,RHBDL1
RIPPLY2,13906,RIPPLY2
H1F0,20863,H1F0
STARD3NL,26655,STARD3NL
TSTD1,12530,TSTD1
COL22A1,161145,COL22A1
U2SURP,118292,U2SURP
HNRNPDL,46438,HNRNPDL
PSMD1,105836,PSMD1
CXCL2,11389,CXCL2
IP6K3,46417,IP6K3
FHAD1,161904,FHAD1
ZCCHC8,78577,ZCCHC8
REPIN1,63575,REPIN1
GBP5,66617,GBP5
SLC46A2,51067,SLC46A2
WASHC4,136403,WASHC4
EMC8,23773,EMC8
CD6,71801,CD6
CXCL14,13078,CXCL14
SERPING1,55154,SERPING1
SH2D5,46797,SH2D5
TMEM57,76178,TMEM57
C11orf86,13172,C11orf86
WDR11,136685,WDR11
PRDM2,188915,PRDM2
UBIAD1,36831,UBIAD1
KANSL2,55042,KANSL2
OGDHL,114481,OGDHL
CBLN4,21808,CBLN4
MTMR12,86148,MTMR12
NAIF1,35164,NAIF1
TLX1,34365,TLX1
C16orf86,33511,C16orf86
ANO7,105532,ANO7
KRT4,57285,KRT4
RASA1,116403,RASA1
SEMA3D,89651,SEMA3D
CDV3,27335,CDV3
RASSF5,47090,RASSF5
C12orf4,63801,C12orf4
PI3,12270,PI3
TRABD2B,57421,TRABD2B
RTEL1,133683,RTEL1
COL25A1,64771,COL25A1
IRF1,36502,IRF1
LYVE1,35213,LYVE1
SLC7A1,67638,SLC7A1
ZNF599,67492,ZNF599
FICD,51778,FICD
KIAA0408,79163,KIAA0408
TLR6,91880,TLR6
RABL3,26423,RABL3
LRRC2,42943,LRRC2
EN1,40115,EN1
COX7A2,9396,COX7A2
LCE1F,11654,LCE1F
IGHV1-46,12933,IGHV1-46
C10orf82,26343,C10orf82
CNTNAP5,145623,CNTNAP5
PRY,16512,PRY
MYCT1,26593,MYCT1
PTPN11,68436,PTPN11
FGF17,24891,FGF17
AAK1,103885,AAK1
ACTRT3,41008,ACTRT3
NARS2,54090,NARS2
OLAH,29931,OLAH
RPL24,17779,RPL24
KLHL20,67955,KLHL20
FLI1,50982,FLI1
SPAAR,9632,SPAAR
ZIC3,50569,ZIC3
MYOZ1,31745,MYOZ1
IFITM3,14632,IFITM3
RAB19,24400,RAB19
HLA-B,40342,HLA-B
LRFN5,79445,LRFN5
NPDC1,34516,NPDC1
ARL4A,22615,ARL4A
GALNT2,64733,GALNT2
MRPL44,37535,MRPL44
ARMS2,11437,ARMS2
CHST15,64926,CHST15
STIM2,83971,STIM2
ACMSD,38035,ACMSD
DOCK10,249531,DOCK10
MAN1A2,73004,MAN1A2
PIGY,8058,PIGY
ACTR3,47371,ACTR3
ALDH16A1,85127,ALDH16A1
C11orf40,24620,C11orf40
IQCG,51918,IQCG
SYNGAP1,148284,SYNGAP1
DNM3,97746,DNM3
OR4D10,35300,OR4D10
PPARD,49903,PPARD
IFITM10,24599,IFITM10
DCHS2,322234,DCHS2
CCDC178,102011,CCDC178
COPS8,23226,COPS8
SLC14A2,101209,SLC14A2
ARFGAP3,56928,ARFGAP3
ATP5E,5780,ATP5E
BAHD1,84652,BAHD1
RPEL1,25023,RPEL1
TRAV21,12289,TRAV21
SMARCE1,46649,SMARCE1
TMEM59,36223,TMEM59
UGT2B7,60721,UGT2B7
CEBPE,30603,CEBPE
HBM,15618,HBM
PIK3CA,124284,PIK3CA
MMP25,62554,MMP25
PLEKHA4,85401,PLEKHA4
OR10V1,34746,OR10V1
MRPS30,50365,MRPS30
RPS11,18431,RPS11
C12orf54,14485,C12orf54
TYK2,133650,TYK2
IGHG2,35901,IGHG2
GEMIN6,18824,GEMIN6
VN1R4,33557,VN1R4
LMNB1,66408,LMNB1
KLHDC7B,63314,KLHDC7B
MBD3L2B,22665,MBD3L2B
UGT2B17,61095,UGT2B17
HPS3,113736,HPS3
KLHL36,69896,KLHL36
ADM2,15865,ADM2
DOPEY2,258230,DOPEY2
ADAMTS5,101718,ADAMTS5
FAHD1,24843,FAHD1
VIPR1,51547,VIPR1
KIAA0753,109407,KIAA0753
CDC42BPB,194315,CDC42BPB
YLPM1,241645,YLPM1
CSF1,60179,CSF1
KCNE2,14472,KCNE2
GGT2,61771,GGT2
ACTL8,41360,ACTL8
TMEM225,25828,TMEM225
FRYL,339598,FRYL
SCIMP,16618,SCIMP
GPX4,22175,GPX4
ANKMY1,105516,ANKMY1
TMEM9,20574,TMEM9
GOLGA8N,71524,GOLGA8N
PTH1R,66361,PTH1R
OR51B6,35269,OR51B6
TMPRSS13,63167,TMPRSS13
ARMCX4,235964,ARMCX4
CYP2U1,61987,CYP2U1
RUNX2,56648,RUNX2
USP17L20,59626,USP17L20
FAM168B,20324,FAM168B
IFT172,197576,IFT172
GTF2A1,41514,GTF2A1
CHD4,218005,CHD4
TRAV34,12465,TRAV34
ARHGAP18,74977,ARHGAP18
AKR1C1,36788,AKR1C1
GAP43,24803,GAP43
KDELR3,25027,KDELR3
IGKV6-21,12430,IGKV6-21
PTMA,12203,PTMA
LEAP2,8814,LEAP2
SPAG9,146205,SPAG9
FRG2B,30564,FRG2B
BMP6,57226,BMP6
TRIO,346900,TRIO
NT5C,23383,NT5C
PTPN22,91705,PTPN22
NEDD1,71966,NEDD1
TATDN2,85023,TATDN2
FGFR4,87954,FGFR4
SLC48A1,16419,SLC48A1
PLA2G6,89903,PLA2G6
ZNF888,83549,ZNF888
CERS4,46399,CERS4
ZNF438,91836,ZNF438
RAP1GAP2,80056,RAP1GAP2
ZNF287,87565,ZNF287
NDRG1,42835,NDRG1
MBP,33117,MBP
SH3RF2,79320,SH3RF2
DKK4,24876,DKK4
OSGIN2,56672,OSGIN2
SMIM1,8749,SMIM1
CLDN2,24549,CLDN2
INSC,63469,INSC
MRPS24,19015,MRPS24
MUC17,451741,MUC17
ERH,12259,ERH
FCRL2,55542,FCRL2
POLM,54816,POLM
GRID1,112131,GRID1
CPXM1,81668,CPXM1
BECN1,51896,BECN1
DOCK3,233103,DOCK3
KRT8,53704,KRT8
C2orf70,23421,C2orf70
ERI2,77401,ERI2
PHF5A,12405,PHF5A
ZNF230,54542,ZNF230
MCOLN3,64248,MCOLN3
DERA,35231,DERA
FLVCR2,57241,FLVCR2
EIF4A2,46402,EIF4A2
CCNL1,59634,CCNL1
NADK,49228,NADK
OGFOD2,38996,OGFOD2
SCN1A,228972,SCN1A
H2AFY,39617,H2AFY
RHBDL2,34021,RHBDL2
AQP7,37232,AQP7
DHRS12,35146,DHRS12
VASN,71713,VASN
FDX1,19393,FDX1
FHL5,32720,FHL5
POLR2J3,13092,POLR2J3
PRAMEF8,53655,PRAMEF8
MTX2,29763,MTX2
PRDX6,25035,PRDX6
IGHV3-21,12840,IGHV3-21
SLC37A2,54436,SLC37A2
CABLES2,52235,CABLES2
CLIC1,26923,CLIC1
C2CD2L,76181,C2CD2L
CFTR,168142,CFTR
MASP2,75702,MASP2
PTF1A,34970,PTF1A
CRYL1,35419,CRYL1
EIF2AK2,62094,EIF2AK2
HDAC11,39183,HDAC11
SLFN5,101055,SLFN5
MFAP3L,45380,MFAP3L
PIRT,15334,PIRT
DECR1,36068,DECR1
SRD5A2,28393,SRD5A2
RNF17,184643,RNF17
TIPARP,76227,TIPARP
SMR3A,14048,SMR3A
LBR,70703,LBR
WDPCP,85084,WDPCP
SEC61A2,52248,SEC61A2
ROM1,37205,ROM1
WSCD2,63817,WSCD2
CHST2,57857,CHST2
CC2D1A,104062,CC2D1A
MT-ND3,13186,MT-ND3
ELOA2,83921,ELOA2
CCDC136,134045,CCDC136
DEFB121,8456,DEFB121
PHB,29804,PHB
MIEN1,12403,MIEN1
DRC3,61054,DRC3
JRKL,59912,JRKL
GUCD1,27207,GUCD1
FAM120AOS,27929,FAM120AOS
ARHGAP23,162192,ARHGAP23
B3GALT6,37138,B3GALT6
GAS8,56356,GAS8
CBWD3,44038,CBWD3
FABP12,15565,FABP12
TBC1D8,130835,TBC1D8
SOX12,34122,SOX12
SLC6A8,70523,SLC6A8
BHLHA15,20818,BHLHA15
HSPA1B,70052,HSPA1B
LRCH1,80875,LRCH1
NPTX2,47042,NPTX2
GRK6,65991,GRK6
SIVA1,18695,SIVA1
SPTLC1,52744,SPTLC1
SPRR2F,7805,SPRR2F
ZFYVE16,168903,ZFYVE16
HPCAL4,22202,HPCAL4
CCDC36,66343,CCDC36
OPCML,38008,OPCML
KRT80,50525,KRT80
DGCR2,60811,DGCR2
IMMT,83678,IMMT
HCK,59600,HCK
DNTTIP1,37013,DNTTIP1
CREB3L4,43432,CREB3L4
S100A12,10575,S100A12
LCE3E,9507,LCE3E
C9orf92,8520,C9orf92
KNG1,71957,KNG1
CD83,23042,CD83
TNFRSF8,63747,TNFRSF8
LONRF2,83654,LONRF2
HIST1H2BL,13952,HIST1H2BL
NISCH,166629,NISCH
PRAC2,10428,PRAC2
GCC2,195910,GCC2
ZNF480,61708,ZNF480
PITX3,31832,PITX3
GNAZ,40924,GNAZ
SENP7,119658,SENP7
HNRNPH1,49229,HNRNPH1
VGLL3,36009,VGLL3
HAUS4,42400,HAUS4
IGHV3-33,13074,IGHV3-33
NRXN3,69305,NRXN3
PYDC1,10107,PYDC1
C1orf116,63964,C1orf116
ADAMTSL1,193409,ADAMTSL1
SOCS2,22172,SOCS2
PPIL4,57225,PPIL4
ZNF202,74720,ZNF202
TTLL13P,93645,TTLL13P
WDR53,38989,WDR53
AASDH,122597,AASDH
ZNF593,15199,ZNF593
LACC1,47780,LACC1
ACBD6,31151,ACBD6
WDR1,66194,WDR1
IGLJ1,4776,IGLJ1
NEFM,102472,NEFM
RRAGD,45588,RRAGD
SEPT3,40704,SEPT3
RIMS1,189073,RIMS1
IL20RA,62485,IL20RA
WTIP,45124,WTIP
HCAR1,39295,HCAR1
DYNLRB1,10922,DYNLRB1
HMCN2,541978,HMCN2
RNASE4,16840,RNASE4
SLC35B3,44593,SLC35B3
PIGT,65700,PIGT
ACSM3,66153,ACSM3
GAB3,65589,GAB3
ACSL1,77943,ACSL1
PECR,32544,PECR
CNST,79597,CNST
OR8H3,35219,OR8H3
ZNF407,247367,ZNF407
KRT10,58827,KRT10
LVRN,113283,LVRN
ZNHIT3,17607,ZNHIT3
TAS2R14,36160,TAS2R14
COL16A1,157751,COL16A1
EYA1,64593,EYA1
ADAMTS9,216491,ADAMTS9
SEPT2,41487,SEPT2
FAAH,63066,FAAH
OR5T3,38346,OR5T3
RESP18,24956,RESP18
ILDR1,62815,ILDR1
ZKSCAN5,96903,ZKSCAN5
TG,304790,TG
GPX7,20996,GPX7
TMEM120A,40610,TMEM120A
ARSE,65669,ARSE
ZFC3H1,226356,ZFC3H1
PXDC1,26560,PXDC1
SMYD4,89225,SMYD4
ANGPT4,56849,ANGPT4
CLC,16453,CLC
PAPLN,137700,PAPLN
PLEC,531791,PLEC
TXLNG,60586,TXLNG
ANKRD42,43052,ANKRD42
ST14,94770,ST14
SLC41A2,62473,SLC41A2
FAM187B,42387,FAM187B
PROSER1,95698,PROSER1
SH3BGRL3,10438,SH3BGRL3
ZNF160,94112,ZNF160
AFAP1,80725,AFAP1
YWHAB,28082,YWHAB
SLC39A14,54212,SLC39A14
TMEM109,26210,TMEM109
INSL5,15333,INSL5
FAM160A2,105568,FAM160A2
HADHB,51294,HADHB
RTN4R,50708,RTN4R
TMEM204,24540,TMEM204
ZFPM1,104888,ZFPM1
SPRYD7,21666,SPRYD7
SLC44A3,73783,SLC44A3
STOX2,102671,STOX2
SYT6,57325,SYT6
TMEM255B,34609,TMEM255B
MOCS3,49669,MOCS3
HELT,26913,HELT
VSIG8,43891,VSIG8
MT-ND2,38961,MT-ND2
EGR1,57507,EGR1
PCDHA10,102875,PCDHA10
SERPINA7,46325,SERPINA7
RINL,62466,RINL
LMBR1L,55209,LMBR1L
TCEAL4,24647,TCEAL4
UBE2Q2L,14853,UBE2Q2L
ZCCHC6,171229,ZCCHC6
ZNF787,40428,ZNF787
MS4A4E,15209,MS4A4E
ALG11,55651,ALG11
RPL41,3456,RPL41
EPHA8,111003,EPHA8
PRKAR1B,43073,PRKAR1B
PSMD4,40737,PSMD4
TOMM20,16298,TOMM20
PRKCQ,81865,PRKCQ
C2orf83,16373,C2orf83
LSM2,10835,LSM2
ZNF316,108437,ZNF316
ERMP1,100231,ERMP1
APC2,243949,APC2
IFNA4,21808,IFNA4
RD3L,23209,RD3L
PPP1R8,38479,PPP1R8
EFS,58815,EFS
BUD13,70521,BUD13
NUDCD1,66756,NUDCD1
ITPRIPL2,58446,ITPRIPL2
C1QL4,24909,C1QL4
TIMM8A,10998,TIMM8A
HIST1H3A,15404,HIST1H3A
TMEM234,17601,TMEM234
PAGE5,14046,PAGE5
EIF1AX,16460,EIF1AX
GJA4,37414,GJA4
MTM1,69932,MTM1
P3H1,83394,P3H1
SUSD5,68021,SUSD5
HOXC8,27755,HOXC8
EIF2AK3,125216,EIF2AK3
PKD1L2,272514,PKD1L2
HOXB6,25432,HOXB6
RNF170,29815,RNF170
CLEC18A,49602,CLEC18A
MC1R,34706,MC1R
ABCF1,95926,ABCF1
ALK,176442,ALK
CKMT1B,47037,CKMT1B
TAAR9,39016,TAAR9
UBQLN4,63853,UBQLN4
RNF34,41641,RNF34
NDN,36086,NDN
FAM114A1,60742,FAM114A1
CST7,16454,CST7
SPATA31D3,102419,SPATA31D3
PRKAA1,64009,PRKAA1
ZNF577,54939,ZNF577
UBE2Q1,46127,UBE2Q1
CAMTA1,183672,CAMTA1
PYCARD,21627,PYCARD
RP9,26107,RP9
AFF4,127459,AFF4
FBXL8,40516,FBXL8
PLEKHG6,88960,PLEKHG6
GLI2,167783,GLI2
PRDM5,73090,PRDM5
IGSF3,135196,IGSF3
PROKR1,44770,PROKR1
HGD,49964,HGD
UFD1,34500,UFD1
MBD2,43255,MBD2
TMEM150C,27887,TMEM150C
RHBDD2,39202,RHBDD2
PTX3,41976,PTX3
CCDC106,32032,CCDC106
DLST,48755,DLST
IGLV3-1,12296,IGLV3-1
DHDDS,38657,DHDDS
VWC2L,24570,VWC2L
LGALS9C,39607,LGALS9C
TNNT3,31825,TNNT3
BBS7,80353,BBS7
ALS2,183634,ALS2
GALNT1,64219,GALNT1
NOCT,48196,NOCT
MAP3K15,147437,MAP3K15
TAF13,14287,TAF13
GCC1,87811,GCC1
PARL,42190,PARL
SCN3A,226294,SCN3A
IL4I1,62881,IL4I1
NRIP1,126942,NRIP1
C1GALT1C1,36382,C1GALT1C1
PTPRN2,111271,PTPRN2
PCLO,560699,PCLO
EID2B,16985,EID2B
GCG,20909,GCG
TRAV13-1,12580,TRAV13-1
RAB7B,22511,RAB7B
SEZ6L,111782,SEZ6L
CTHRC1,26224,CTHRC1
STYK1,47577,STYK1
SPCS1,11805,SPCS1
CYP4A11,59348,CYP4A11
CHTF8,13314,CHTF8
KY,63855,KY
CELA3B,29263,CELA3B
TRAPPC3L,20566,TRAPPC3L
MAGEB3,39211,MAGEB3
BEND4,58375,BEND4
TBC1D3G,62231,TBC1D3G
TTBK1,142737,TTBK1
APCDD1,58797,APCDD1
ICAM5,97116,ICAM5
ZNF41,93728,ZNF41
CCDC9,59703,CCDC9
MTERF4,43958,MTERF4
NOMO2,139439,NOMO2
JPH2,74222,JPH2
DIDO1,243873,DIDO1
RNPEPL1,80000,RNPEPL1
FBXL20,48423,FBXL20
KRTAP10-4,40429,KRTAP10-4
SEM1,8278,SEM1
DEFB113,9640,DEFB113
MRM3,47020,MRM3
CRBN,50546,CRBN
CROT,70178,CROT
OR52K1,35231,OR52K1
PRMT3,59903,PRMT3
INTS14,57471,INTS14
COL28A1,116657,COL28A1
NF1,319372,NF1
HSPB1,22783,HSPB1
UQCC2,14875,UQCC2
GAK,143191,GAK
TXNRD2,56507,TXNRD2
RRP12,143702,RRP12
SLAMF7,37421,SLAMF7
RPP38,31834,RPP38
PPIAL4E,18197,PPIAL4E
BTG4,25970,BTG4
UNC13C,250911,UNC13C
VIPR2,49479,VIPR2
HABP4,45785,HABP4
SENP1,73481,SENP1
MIPOL1,51537,MIPOL1
IGLV5-37,13277,IGLV5-37
CASK,105123,CASK
UBE2D1,16602,UBE2D1
DHRS7C,34878,DHRS7C
NEURL3,28789,NEURL3
CDK5R2,38705,CDK5R2
G6PC,40484,G6PC
PSG2,37216,PSG2
CCL17,10507,CCL17
SLC25A45,31906,SLC25A45
CHST7,54266,CHST7
PRKACG,40434,PRKACG
ZNF500,53674,ZNF500
C5orf51,33620,C5orf51
OPALIN,15683,OPALIN
GAS2L3,75214,GAS2L3
METTL7A,28319,METTL7A
CYB5D2,28690,CYB5D2
TAPT1,64260,TAPT1
PPP3R1,19300,PPP3R1
PHOSPHO1,29713,PHOSPHO1
ENO1,47169,ENO1
DROSHA,159316,DROSHA
CLUL1,54215,CLUL1
IBTK,150528,IBTK
ATRIP,85838,ATRIP
PLA2G15,46658,PLA2G15
KLHL11,80148,KLHL11
RRNAD1,52981,RRNAD1
HTR2C,51821,HTR2C
TM9SF2,75776,TM9SF2
CYSLTR1,38541,CYSLTR1
BOLL,31301,BOLL
YTHDC2,160248,YTHDC2
TRGV8,13335,TRGV8
ZNF583,66033,ZNF583
BRPF3,135745,BRPF3
KLHL26,68139,KLHL26
GALNS,58026,GALNS
C17orf67,10670,C17orf67
KCNH7,135000,KCNH7
LIPI,52922,LIPI
IMMP2L,19718,IMMP2L
NUB1,70538,NUB1
KIF18B,93011,KIF18B
SRARP,17657,SRARP
TXLNA,61891,TXLNA
ALDH1A3,56108,ALDH1A3
IFIT2,54632,IFIT2
CASC1,83160,CASC1
GJB4,30419,GJB4
PSD2,84660,PSD2
TNFRSF13C,18864,TNFRSF13C
TEK,125830,TEK
SFSWAP,104822,SFSWAP
WDR47,101949,WDR47
AP3B2,119059,AP3B2
PPP4R3C,95804,PPP4R3C
SLC44A5,81694,SLC44A5
HSD3B2,42052,HSD3B2
CD5,54578,CD5
MAPK10,52585,MAPK10
PHLDB1,151162,PHLDB1
TMEM18,16265,TMEM18
MYBPC2,128072,MYBPC2
OBSL1,206947,OBSL1
LAMTOR1,17745,LAMTOR1
PICALM,70755,PICALM
GAGE12F,12978,GAGE12F
DNAJB1,38044,DNAJB1
FAM183A,15996,FAM183A
CDC14B,56802,CDC14B
PLK3,71629,PLK3
GLOD5,18322,GLOD5
SLC7A7,55991,SLC7A7
C15orf53,19737,C15orf53
PRAP1,17208,PRAP1
C2orf49,25858,C2orf49
OR56A4,35116,OR56A4
RNF4,21319,RNF4
C11orf21,14447,C11orf21
NUP210L,210605,NUP210L
CTBP2,48945,CTBP2
NEU4,51572,NEU4
ENOSF1,49786,ENOSF1
EPS8L2,80621,EPS8L2
MYLK,210715,MYLK
MPPED1,37207,MPPED1
CCK,12669,CCK
METTL22,44486,METTL22
WIF1,41528,WIF1
AGO1,97214,AGO1
MAK,70581,MAK
RIOK2,63283,RIOK2
TMEM221,30293,TMEM221
GIMAP7,34509,GIMAP7
MRPS33,12629,MRPS33
LRR1,46723,LRR1
C19orf81,22444,C19orf81
SPN,40322,SPN
TMTC2,94130,TMTC2
TSSC4,34326,TSSC4
GPR152,50962,GPR152
WFDC8,27824,WFDC8
ECT2,103505,ECT2
CACNG3,35549,CACNG3
MRPL39,38712,MRPL39
ATP2B1,134685,ATP2B1
VPS13A,360276,VPS13A
KCNA2,56717,KCNA2
GRIN2C,134209,GRIN2C
OTOL1,49422,OTOL1
GOLPH3,33811,GOLPH3
VWA7,96060,VWA7
TMEM230,13188,TMEM230
GSDMB,46786,GSDMB
DEDD2,36179,DEDD2
IGKV3-15,12496,IGKV3-15
KRTAP9-4,16378,KRTAP9-4
TPRG1L,30212,TPRG1L
GSTO2,28254,GSTO2
STMN2,20828,STMN2
MSMB,12865,MSMB
LARGE2,81787,LARGE2
XYLB,58382,XYLB
VHL,24153,VHL
CPE,53151,CPE
FADS2,52259,FADS2
CCL22,10625,CCL22
P3H3,81837,P3H3
CNNM2,96623,CNNM2
C14orf177,13861,C14orf177
DMXL2,339641,DMXL2
FAF2,52623,FAF2
STRAP,38438,STRAP
UBE2M,20900,UBE2M
PPM1L,41053,PPM1L
MBD5,159895,MBD5
SEPHS2,47305,SEPHS2
ATF4,38590,ATF4
RAB40AL,31239,RAB40AL
CERS3,46316,CERS3
GOLGA8K,68878,GOLGA8K
MAP3K8,52925,MAP3K8
PNPLA1,57875,PNPLA1
NOD2,115283,NOD2
TBPL1,20887,TBPL1
EMC9,23061,EMC9
ZNF799,74288,ZNF799
RAE1,40968,RAE1
AIF1,16703,AIF1
CABYR,52774,CABYR
TRAV39,12540,TRAV39
PRIMA1,16689,PRIMA1
